kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Rokan Hilir,2020,100.06,69.15,67892.36,6.72,8.24,0.293
Kepulauan Meranti,2020,105.8,65.5,18066.19,25.28,10.41,0.177
Kota Pekanbaru,2020,90.67,81.32,115486.9,2.62,7.51,0.069
Kota Dumai,2020,100.35,74.4,36313.73,3.16,8.35,0.175
Kerinci,2020,90.16,71.21,10460.27,7.3,10.33,0.398
Merangin,2020,89.23,69.19,15664.88,8.63,10.06,0.456
Sarolangun,2020,89.37,69.86,14429.42,8.42,10.26,0.394
Batang Hari,2020,87.12,69.84,16392.8,9.65,9.06,0.293
Muaro Jambi,2020,88.34,69.18,24382.39,3.83,8.17,0.295
Tanjung Jabung Timur,2020,100.7,64.43,19563.27,10.95,9.89,0.358
Tanjung Jabung Barat,2020,103.19,67.54,37133.85,10.29,10.74,0.321
Tebo,2020,83.58,69.14,14737.98,6.26,9.93,0.378
Bungo,2020,86.95,69.92,17305.75,5.8,8.75,0.43
Kota Jambi,2020,87.08,78.37,29465.15,8.27,6.71,0.134
Kota Sungai Penuh,2020,89.96,75.42,7562.25,3.03,7.95,0.218
Ogan Komering Ulu,2020,89.99,69.32,14815.09,12.75,11.44,0.335
Ogan Komering Ilir,2020,91.88,66.82,33823.7,14.73,8.32,0.364
Muara Enim,2020,99.75,68.74,57493.55,12.32,8.24,0.341
Lahat,2020,88.97,67.44,17230.57,15.95,10.11,0.296
Musi Rawas,2020,91.85,66.79,19237.35,13.5,8.9,0.309
Musi Banyuasin,2020,95.12,67.69,65943.88,16.13,7.64,0.368
Banyu Asin,2020,93.58,66.74,29100.61,11.17,9.45,0.324
Ogan Komering Ulu Selatan,2020,90.56,65.3,8971.73,10.85,12.8,0.373
Ogan Komering Ulu Timur,2020,97.04,69.28,15282.54,10.43,10.92,0.355
Ogan Ilir,2020,91.01,67.06,11328.48,13.36,9.44,0.326
Empat Lawang,2020,89.3,65.25,5084.15,12.63,14.55,0.346
Penukal Abab Lematang Ilir,2020,98.95,64.7,7129.73,12.62,9.18,0.406
Musi Rawas Utara,2020,91.18,64.49,7194.15,19.47,8.31,0.415
Kota Palembang,2020,88.85,78.33,155203.91,10.89,8.99,0.127
Kota Prabumulih,2020,95.36,74.55,7867.32,11.59,14.56,0.189
Kota Pagar Alam,2020,97.68,68.31,2830.35,9.07,17.03,0.245
Kota Lubuklinggau,2020,86.04,74.78,6717.98,12.71,11.14,0.285
Bengkulu Selatan,2020,88.18,70.63,5819.78,17.82,8.09,0.311
Rejang Lebong,2020,91.3,70.44,9537.3,15.85,11.62,0.346
Bengkulu Utara,2020,92.43,68.82,8416.32,11.67,6.56,0.285
Kaur,2020,93.33,66.99,3612.34,18.47,6.33,0.38
Seluma,2020,93.17,66.89,4730.45,18.56,7.38,0.351
Mukomuko,2020,94.03,68.45,5266.95,11.72,3.64,0.389
Lebong,2020,93.24,67.01,3400.86,11.85,8.03,0.336
Kepahiang,2020,90.89,68.17,4409.81,14.69,10.99,0.371
Bengkulu Tengah,2020,90.6,67.61,4672.1,9.3,5.67,0.437
Kota Bengkulu,2020,90.73,80.36,23498.49,17.65,8.2,0.174
Lampung Barat,2020,98.16,67.8,7131.89,12.52,10.98,0.316
Tanggamus,2020,89.2,66.42,15467.66,11.68,13.22,0.283
Lampung Selatan,2020,85.85,68.36,44293.0,14.08,12.33,0.289
Lampung Timur,2020,83.18,69.37,40673.06,14.62,12.3,0.252
Lampung Tengah,2020,83.45,70.16,71070.42,11.82,12.46,0.263
