kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Kota Tarakan,2020,107.04,75.83,38053.07,6.24,10.78,0.191
Bolaang Mongondow,2020,95.81,67.89,8392.4,7.27,4.64,0.454
Minahasa,2020,99.3,75.29,17427.13,7.3,4.77,0.278
Kepulauan Sangihe,2020,118.13,70.73,4383.25,11.14,6.72,0.295
Kepulauan Talaud,2020,136.51,69.4,2266.56,9.49,5.94,0.263
Minahasa Selatan,2020,103.41,72.11,8780.26,9.14,6.87,0.308
Minahasa Utara,2020,100.63,73.9,14372.46,7.0,3.62,0.263
Bolaang Mongondow Utara,2020,92.31,66.99,2574.26,8.41,8.55,0.377
Siau Tagulandang Biaro,2020,118.52,67.64,2447.46,8.94,6.59,0.249
Minahasa Tenggara,2020,95.81,70.51,5213.52,12.3,6.45,0.376
Bolaang Mongondow Selatan,2020,98.85,65.0,2153.24,12.77,5.91,0.394
Bolaang Mongondow Timur,2020,101.9,65.99,3080.9,5.88,4.6,0.403
Kota Manado,2020,102.83,78.93,36618.4,5.86,2.22,0.255
Kota Bitung,2020,106.21,74.1,17085.0,6.41,3.06,0.262
Kota Tomohon,2020,101.02,76.69,4371.18,5.6,2.77,0.214
Kota Kotamobagu,2020,98.32,72.97,3791.27,5.42,2.44,0.348
Banggai Kepulauan,2020,98.9,65.42,3833.55,14.04,13.27,0.374
Banggai,2020,93.1,70.52,27360.88,7.39,8.15,0.332
Morowali,2020,93.64,72.21,62148.34,13.43,4.97,0.337
Poso,2020,91.69,71.28,9214.47,15.45,7.31,0.356
Donggala,2020,83.53,65.56,11737.41,17.39,10.41,0.45
Toli-Toli,2020,90.78,65.69,8320.82,12.85,9.58,0.343
Buol,2020,92.98,67.82,5637.53,13.93,8.06,0.396
Parigi Moutong,2020,86.8,65.44,17197.68,15.85,11.27,0.386
Tojo Una-Una,2020,91.31,64.59,5586.63,16.39,8.7,0.439
Sigi,2020,82.18,68.12,9029.08,12.45,10.66,0.32
Banggai Laut,2020,104.06,65.43,2372.48,14.6,10.51,0.328
Morowali Utara,2020,90.88,68.36,11160.86,14.1,7.41,0.3
Kota Palu,2020,82.3,81.47,24165.89,6.8,4.36,0.261
Kepulauan Selayar,2020,108.84,67.38,6392.74,12.48,11.87,0.251
Bulukumba,2020,91.69,68.99,14565.49,7.1,14.73,0.23
Bantaeng,2020,86.04,68.73,8970.48,8.95,9.92,0.269
Jeneponto,2020,96.44,64.26,10288.56,14.58,14.34,0.33
Takalar,2020,88.36,67.31,10220.31,8.44,12.13,0.301
Gowa,2020,88.61,70.14,21531.88,7.38,7.81,0.31
Sinjai,2020,87.77,67.6,11325.05,9.0,10.91,0.309
Maros,2020,91.25,69.86,18621.04,9.74,7.83,0.306
Pangkajene dan Kepulauan,2020,92.58,68.72,25662.55,13.96,9.84,0.308
Barru,2020,92.23,71.0,7432.3,8.26,10.43,0.298
Bone,2020,94.23,66.06,36560.64,10.68,16.37,0.357
Soppeng,2020,92.11,68.67,11382.12,7.59,19.78,0.325
Wajo,2020,98.16,69.15,19773.05,6.95,10.68,0.266
Sidenreng Rappang,2020,89.87,71.21,14073.43,5.05,9.62,0.342
Pinrang,2020,95.1,71.26,20083.01,8.86,11.04,0.324
Enrekang,2020,102.31,72.76,7528.64,12.17,10.96,0.27
Luwu,2020,102.12,70.51,16031.07,12.65,10.74,0.325
Tana Toraja,2020,102.65,68.75,7571.14,12.1,10.1,0.323
Luwu Utara,2020,93.63,69.57,13237.25,13.41,10.81,0.399
Luwu Timur,2020,104.71,73.22,21529.81,6.85,8.49,0.322
Toraja Utara,2020,98.75,69.33,9721.43,12.01,8.66,0.371
Kota Makasar,2020,95.72,82.25,178332.99,4.54,5.46,0.192
Kota Parepare,2020,93.76,77.86,7323.65,5.44,5.95,0.277
Kota Palopo,2020,99.75,78.06,8025.29,7.85,4.22,0.242
Buton,2020,106.17,65.98,3816.73,13.21,13.42,0.305
Muna,2020,105.55,69.02,6983.65,12.83,12.04,0.314
Konawe,2020,97.1,71.35,10362.23,12.2,8.97,0.419
Kolaka,2020,93.71,73.45,25622.95,11.63,6.36,0.317
Konawe Selatan,2020,92.5,68.2,11823.22,10.74,10.1,0.394
Bombana,2020,96.63,66.05,6559.65,10.01,9.43,0.373
Wakatobi,2020,108.17,69.48,4429.27,14.31,11.24,0.335
Kolaka Utara,2020,97.79,69.31,8835.24,12.96,8.34,0.412
Buton Utara,2020,108.82,67.87,3211.19,14.1,10.36,0.356
Konawe Utara,2020,96.94,69.86,3966.23,13.53,6.07,0.465
Kolaka Timur,2020,90.86,67.02,4496.34,13.47,8.49,0.389
Konawe Kepulauan,2020,101.54,65.41,1398.58,17.01,13.98,0.427
Muna Barat,2020,109.05,65.08,2618.03,13.3,12.64,0.306
Buton Tengah,2020,107.46,64.37,2428.67,15.32,17.09,0.345
Buton Selatan,2020,113.02,64.93,2874.73,14.11,11.29,0.284
Kota Kendari,2020,90.25,83.53,22045.7,4.34,7.42,0.217
Kota Baubau,2020,107.25,75.9,9075.85,7.15,13.07,0.235
Boalemo,2020,97.01,65.91,5490.26,18.57,12.99,0.449
Gorontalo,2020,92.67,66.92,13044.9,17.56,10.74,0.35
Pohuwato,2020,94.33,65.37,6736.1,17.62,11.48,0.408
Bone Bolango,2020,94.48,69.98,4648.78,15.81,7.98,0.293
Gorontalo Utara,2020,94.81,64.86,3429.39,16.88,14.06,0.375
Kota Gorontalo,2020,91.52,77.13,8535.98,5.59,6.29,0.233
Majene,2020,86.42,66.91,4986.82,13.73,7.45,0.275
Polewali Mandar,2020,82.6,63.84,13272.65,15.26,9.49,0.377
Mamasa,2020,102.34,66.02,2991.98,13.38,17.71,0.358
Mamuju,2020,87.54,68.15,11700.06,6.92,7.91,0.374
Mamuju Utara / Pasangkayu,2020,92.82,67.79,10287.41,4.48,6.35,0.41
Mamuju Tengah,2020,86.51,65.71,3213.4,6.79,7.32,0.361
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,131.16,62.86,2712.53,27.11,37.05,0.211
Maluku Tenggara,2020,128.79,66.2,3260.4,22.57,36.42,0.233
Maluku Tengah,2020,115.29,71.25,8719.17,19.83,43.07,0.212
Buru,2020,131.47,68.95,2424.73,16.64,39.15,0.327
Kepulauan Aru,2020,130.73,63.71,3503.74,26.26,40.42,0.215
Seram Bagian Barat,2020,111.88,65.62,3029.73,25.11,43.3,0.234
Seram Bagian Timur,2020,115.33,64.12,2914.08,23.04,38.31,0.236
Maluku Barat Daya,2020,131.14,61.9,1670.54,29.15,36.29,0.169
Buru Selatan,2020,133.18,64.69,1418.56,15.75,47.8,0.253
Kota Ambon,2020,110.2,80.84,14706.63,4.51,22.19,0.155
Kota Tual,2020,132.56,67.96,2491.34,22.51,28.96,0.185
Halmahera Barat,2020,113.88,65.31,2276.38,8.82,39.54,0.341
Halmahera Tengah,2020,134.5,65.42,3291.7,13.56,31.64,0.393
Kepulauan Sula,2020,129.16,63.53,2507.63,8.35,43.47,0.288
Halmahera Selatan,2020,114.61,63.84,8714.83,5.21,39.1,0.391
Halmahera Utara,2020,110.6,67.5,5689.64,4.45,38.21,0.368
Halmahera Timur,2020,119.37,66.75,3541.28,15.45,39.89,0.349
Pulau Morotai,2020,114.32,62.5,1572.46,6.46,38.76,0.368
Pulau Taliabu,2020,130.81,60.48,1481.43,7.3,44.39,0.375
Kota Ternate,2020,121.76,79.82,10480.2,3.46,21.78,0.172
Kota Tidore Kepulauan,2020,118.58,70.53,2939.57,6.52,29.47,0.254
Fakfak,2020,126.32,68.36,5200.93,22.27,20.7,0.251
Kaimana,2020,123.48,65.0,2699.4,15.5,24.47,0.278
Teluk Wondama,2020,127.67,60.21,1538.38,30.91,13.3,0.315
Teluk Bintuni,2020,139.24,64.55,31006.05,29.39,20.13,0.336
Manokwari,2020,120.92,72.01,9327.75,20.14,20.9,0.377
Manokwari Selatan,2020,130.73,59.84,832.75,28.88,20.77,0.343
Pegunungan Arfak,2020,185.7,56.33,226.97,33.81,58.55,0.387
Raja Ampat,2020,125.22,63.89,2983.26,17.01,22.32,0.296
Sorong,2020,119.93,65.74,10791.87,27.48,27.72,0.309
Sorong Selatan,2020,128.36,62.42,1859.61,18.28,28.23,0.345
Maybrat,2020,132.47,59.52,732.07,30.78,25.91,0.277
Tambrauw,2020,128.92,53.45,238.74,32.8,36.38,0.261
Kota Sorong,2020,109.25,78.45,15639.29,14.99,18.93,0.23
Jayapura,2020,120.87,71.69,15974.73,12.44,32.14,0.268
Kepulauan Yapen,2020,142.53,67.66,4150.23,26.3,33.46,0.255
Biak Numfor,2020,129.53,72.19,5223.67,24.57,30.61,0.296
Sarmi,2020,138.83,63.63,2937.45,13.87,38.54,0.291
Keerom,2020,134.14,66.4,2925.04,16.32,51.33,0.318
Waropen,2020,143.27,64.94,2044.75,29.54,17.37,0.345
Supiori,2020,130.43,62.3,1042.05,36.91,21.22,0.335
Mamberamo Raya,2020,184.27,51.78,1722.34,36.41,47.87,0.152
Kota Jayapura,2020,120.2,79.94,32019.13,11.16,14.99,0.237
Merauke,2020,150.93,70.09,16026.18,10.03,20.21,0.294
Boven Digoel,2020,159.84,61.53,4820.54,19.41,34.44,0.255
Mappi,2020,152.02,58.15,2991.71,25.04,45.62,0.375
Asmat,2020,179.68,50.55,2569.01,25.49,39.36,0.334
Mimika,2020,125.93,74.19,63716.34,14.26,23.02,0.287
Dogiyai,2020,213.51,54.84,1355.63,28.62,72.2,0.349
Deiyai,2020,229.01,49.46,1435.66,41.76,33.49,0.176
Nabire,2020,138.7,68.83,11178.38,24.15,21.73,0.33
Paniai,2020,229.51,56.31,4283.39,36.71,45.39,0.325
Intan Jaya,2020,438.39,47.79,1273.03,40.71,27.86,0.453
Puncak,2020,492.62,43.04,1438.05,36.96,41.01,0.391
Puncak Jaya,2020,449.51,48.37,1387.23,34.74,20.86,0.143
Nduga,2020,297.45,31.55,1269.94,36.72,17.51,0.294
Jayawijaya,2020,295.03,58.03,8255.38,37.22,32.86,0.177
Lanny Jaya,2020,317.27,47.86,1930.04,38.13,24.81,0.203
Tolikara,2020,336.37,49.5,1672.32,32.04,38.37,0.182
Mamberamo Tengah,2020,391.82,47.57,1213.55,28.38,35.51,0.184
Yalimo,2020,349.27,48.34,1283.66,32.82,22.28,0.213
Yahukimo,2020,192.81,49.37,2504.26,37.34,39.28,0.447
Pegunungan Bintang,2020,356.01,45.44,1968.75,30.15,33.05,0.432
Simeulue,2021,113.04,66.41,2460.29,18.98,12.43,0.221
Aceh Singkil,2021,101.81,69.22,2714.4,20.36,6.37,0.311
Aceh Selatan,2021,93.33,67.44,5969.85,13.18,7.81,0.195
Aceh Tenggara,2021,97.87,69.44,5421.59,13.41,6.75,0.231
Aceh Timur,2021,104.86,67.83,11697.83,14.45,7.2,0.241
Aceh Tengah,2021,106.59,73.37,8031.95,15.26,5.46,0.259
Aceh Barat,2021,92.47,71.67,9983.11,18.81,4.09,0.195
Aceh Besar,2021,97.11,73.58,14050.48,14.05,5.91,0.185
Pidie,2021,93.89,70.7,11341.39,19.59,6.16,0.132
Bireuen,2021,100.3,72.33,14079.53,13.25,6.56,0.168
Aceh Utara,2021,99.07,69.46,23242.91,17.43,11.71,0.22
Aceh Barat Daya,2021,90.55,66.99,4137.85,16.34,7.99,0.256
Gayo Lues,2021,103.35,67.56,2860.81,19.64,3.18,0.308
Aceh Tamiang,2021,98.35,69.48,8873.38,13.34,9.29,0.21
Nagan Raya,2021,96.24,69.31,9085.9,18.23,4.75,0.288
Aceh Jaya,2021,93.51,69.84,2859.09,13.23,6.38,0.36
Bener Meriah,2021,99.55,73.27,5006.64,19.16,7.01,0.212
Pidie Jaya,2021,98.97,73.6,3680.15,19.55,4.82,0.146
Kota Banda Aceh,2021,102.23,85.71,19943.96,7.61,2.75,0.072
Kota Sabang,2021,107.15,76.11,1601.32,15.32,4.26,0.168
Kota Langsa,2021,96.78,77.44,5765.49,10.96,4.93,0.15
Kota Lhokseumawe,2021,103.46,77.57,9431.39,11.16,4.05,0.182
Kota Subulussalam,2021,90.62,65.27,2110.95,17.65,6.76,0.355
Nias,2021,108.77,62.74,4221.86,16.82,7.0,0.269
Mandailing Natal,2021,97.04,67.19,14880.42,9.49,7.25,0.234
Tapanuli Selatan,2021,99.33,70.33,15471.45,8.8,7.02,0.152
Tapanuli Tengah,2021,102.09,69.61,10618.75,12.67,5.95,0.14
Tapanuli Utara,2021,100.57,73.76,8800.08,9.72,5.74,0.084
Toba Samosir / Toba,2021,101.31,75.39,8266.13,8.99,4.16,0.072
Labuhan Batu,2021,101.44,72.09,37606.88,8.74,5.99,0.199
Asahan,2021,95.88,70.49,41994.24,9.35,6.33,0.157
Simalungun,2021,100.94,73.4,42576.88,8.81,7.58,0.151
Dairi,2021,106.07,71.84,9710.8,8.31,6.01,0.068
Karo,2021,103.23,74.83,21824.14,8.79,3.78,0.145
Deli Serdang,2021,95.32,75.53,115306.31,4.01,6.54,0.149
Langkat,2021,99.94,71.35,46301.2,10.12,7.96,0.221
Nias Selatan,2021,116.98,62.35,7420.63,16.92,8.51,0.305
Humbang Hasundutan,2021,100.58,69.41,6356.73,9.65,6.27,0.096
Pakpak Bharat,2021,103.85,67.94,1270.71,9.35,4.75,0.109
Samosir,2021,106.17,70.83,4755.23,12.68,5.01,0.069
Serdang Bedagai,2021,98.12,70.56,30418.85,8.3,7.58,0.173
Batu Bara,2021,97.32,68.58,37197.71,12.38,6.88,0.215
Padang Lawas Utara,2021,96.93,70.11,13137.92,9.92,4.89,0.22
Padang Lawas,2021,97.65,68.64,13139.14,8.69,3.89,0.276
Labuhan Batu Selatan,2021,102.44,71.69,30754.13,8.53,4.54,0.192
Labuhan Batu Utara,2021,102.37,71.87,27400.5,10.02,5.52,0.23
Nias Utara,2021,110.69,62.82,3875.07,25.66,8.17,0.268
Nias Barat,2021,111.92,61.99,2020.0,26.42,8.52,0.21
Kota Sibolga,2021,107.74,73.94,5796.11,12.33,5.33,0.13
Kota Tanjung Balai,2021,99.98,68.94,9632.7,13.4,5.15,0.204
Kota Pematang Siantar,2021,94.97,79.17,14208.23,8.52,6.62,0.079
Kota Tebing Tinggi,2021,98.34,75.42,6349.95,10.3,7.19,0.111
Kota Medan,2021,99.62,81.21,254721.96,8.34,4.94,0.089
Kota Binjai,2021,92.56,76.01,12317.15,5.81,7.62,0.14
Kota Padangsidimpuan,2021,100.07,75.48,6784.4,7.53,5.35,0.112
Kota Gunungsitoli,2021,108.04,69.61,6017.55,16.45,6.09,0.173
Kepulauan Mentawai,2021,124.97,61.35,4843.91,14.84,8.36,0.359
Pesisir Selatan,2021,92.63,70.03,14926.57,7.92,6.23,0.201
Solok,2021,98.82,69.24,14178.06,8.01,6.5,0.222
Sijunjung,2021,93.28,67.86,9567.67,6.8,6.01,0.327
Tanah Datar,2021,93.59,72.46,13590.94,4.54,6.8,0.124
Padang Pariaman,2021,86.53,70.76,18455.09,7.22,5.61,0.11
Agam,2021,89.0,72.57,21440.41,6.85,6.77,0.095
Lima Puluh Kota,2021,93.97,69.68,16182.39,7.29,6.36,0.26
Pasaman,2021,88.39,66.77,9432.45,7.48,7.11,0.226
Solok Selatan,2021,94.14,69.23,5777.98,7.52,5.17,0.251
Dharmasraya,2021,98.02,71.76,10757.47,6.67,6.03,0.263
Pasaman Barat,2021,96.01,68.76,15933.88,7.51,6.13,0.224
Kota Padang,2021,93.31,82.9,65178.86,4.94,5.0,0.077
Kota Solok,2021,92.44,78.41,4251.89,3.12,5.84,0.106
Kota Sawah Lunto,2021,96.9,72.88,3851.69,2.38,6.15,0.135
Kota Padang Panjang,2021,94.68,77.97,3651.12,5.92,6.4,0.142
Kota Bukittinggi,2021,95.06,80.7,9026.56,5.14,3.86,0.037
Kota Payakumbuh,2021,91.87,79.08,7302.51,6.16,5.09,0.097
Kota Pariaman,2021,92.17,77.07,5258.66,4.38,5.29,0.064
Kuantan Singingi,2021,85.78,70.6,38755.92,8.97,9.02,0.286
Indragiri Hulu,2021,97.19,70.01,47736.97,6.18,10.8,0.293
Indragiri Hilir,2021,90.68,66.63,73352.31,6.18,14.1,0.32
Pelalawan,2021,93.65,72.08,57618.56,9.63,9.08,0.26
Siak,2021,96.85,73.98,89636.13,5.18,8.75,0.142
Kampar,2021,87.41,73.02,86455.98,7.82,10.52,0.225
Rokan Hulu,2021,88.99,69.67,42177.46,10.4,9.78,0.269
Bengkalis,2021,98.35,73.58,139613.5,6.64,12.0,0.14
Rokan Hilir,2021,101.04,69.34,80102.63,7.18,10.19,0.258
Kepulauan Meranti,2021,109.75,65.7,21093.09,25.68,14.51,0.174
Kota Pekanbaru,2021,91.8,81.58,126525.25,2.83,10.11,0.09
Kota Dumai,2021,99.29,74.75,39946.11,3.42,9.59,0.131
Kerinci,2021,98.1,71.45,11237.96,7.71,10.3,0.328
Merangin,2021,85.88,69.53,17837.35,9.11,11.91,0.412
Sarolangun,2021,91.5,70.25,16558.99,8.87,8.82,0.355
Batang Hari,2021,92.55,70.11,18809.26,10.05,9.98,0.332
Muaro Jambi,2021,93.75,69.55,27558.34,4.53,8.54,0.251
Tanjung Jabung Timur,2021,98.94,64.91,21783.66,11.39,8.37,0.375
Tanjung Jabung Barat,2021,101.92,68.16,42080.58,10.75,9.66,0.311
Tebo,2021,85.66,69.35,16949.29,6.68,10.25,0.393
Bungo,2021,85.7,70.15,20082.89,6.23,8.33,0.437
Kota Jambi,2021,92.3,79.12,31918.63,9.02,7.25,0.081
Kota Sungai Penuh,2021,95.78,75.7,7980.86,3.41,10.4,0.219
Ogan Komering Ulu,2021,89.09,69.6,15730.26,12.62,6.91,0.329
Ogan Komering Ilir,2021,92.97,67.17,35991.36,14.68,5.34,0.387
Muara Enim,2021,97.76,68.86,69569.67,12.32,5.73,0.351
Lahat,2021,87.36,67.58,19635.54,16.46,7.62,0.269
Musi Rawas,2021,92.52,67.01,20412.49,13.89,7.12,0.358
Musi Banyuasin,2021,94.21,68.1,72643.72,15.84,4.95,0.382
Banyu Asin,2021,93.33,67.13,30992.96,10.75,5.56,0.287
Ogan Komering Ulu Selatan,2021,91.0,65.34,9530.24,11.12,9.44,0.339
Ogan Komering Ulu Timur,2021,96.28,69.58,16243.46,10.6,5.74,0.364
Ogan Ilir,2021,90.39,67.17,12048.82,13.82,6.48,0.304
Empat Lawang,2021,87.16,65.39,5391.04,13.35,10.15,0.323
Penukal Abab Lematang Ilir,2021,99.2,64.88,7527.14,12.91,7.96,0.456
Musi Rawas Utara,2021,88.65,64.93,7744.0,20.11,5.55,0.391
Kota Palembang,2021,86.44,78.72,162032.8,11.34,7.0,0.158
Kota Prabumulih,2021,91.42,74.67,8345.93,12.2,13.36,0.205
Kota Pagar Alam,2021,96.98,68.68,3001.94,9.4,11.76,0.182
Kota Lubuklinggau,2021,83.71,74.89,7030.47,13.23,9.24,0.299
Bengkulu Selatan,2021,91.84,70.75,6196.61,18.16,8.25,0.281
Rejang Lebong,2021,91.89,70.77,10091.53,15.85,11.27,0.331
Bengkulu Utara,2021,94.34,69.28,9854.65,11.61,6.68,0.32
Kaur,2021,97.83,67.17,3900.87,18.62,7.01,0.371
Seluma,2021,96.77,67.03,5053.6,18.72,7.97,0.393
Mukomuko,2021,95.74,68.64,5693.09,11.93,5.0,0.401
Lebong,2021,94.85,67.46,3627.78,12.0,9.51,0.341
Kepahiang,2021,92.95,68.62,4748.46,14.83,11.3,0.361
Bengkulu Tengah,2021,93.97,67.96,5466.24,9.68,6.0,0.44
Kota Bengkulu,2021,94.22,80.54,24974.92,17.89,11.11,0.178
Lampung Barat,2021,101.05,67.9,7477.51,12.82,8.63,0.334
Tanggamus,2021,89.08,66.65,16316.87,11.81,11.76,0.251
Lampung Selatan,2021,89.53,68.49,46090.82,14.19,8.79,0.308
Lampung Timur,2021,87.99,69.66,43817.61,15.08,11.79,0.237
Lampung Tengah,2021,85.82,70.23,74339.95,11.99,11.42,0.277
Lampung Utara,2021,85.88,67.89,24941.07,19.63,11.0,0.296
Way Kanan,2021,92.28,67.57,14661.87,13.09,10.33,0.383
Tulangbawang,2021,92.75,68.73,24166.26,9.67,11.22,0.378
Pesawaran,2021,87.54,66.14,16814.58,15.11,12.68,0.272
Pringsewu,2021,90.97,70.45,11659.05,10.11,11.64,0.228
Mesuji,2021,103.07,64.04,10878.96,7.54,9.76,0.354
Tulang Bawang Barat,2021,102.56,66.22,11960.55,8.32,12.66,0.341
Pesisir Barat,2021,104.74,64.3,4892.04,14.81,6.89,0.245
Kota Bandar Lampung,2021,89.77,77.58,61480.56,9.11,5.91,0.162
Kota Metro,2021,88.71,77.49,6565.45,8.93,8.27,0.14
Bangka,2021,101.18,72.46,16166.01,4.81,11.36,0.306
Belitung,2021,101.38,72.57,11011.04,7.15,9.7,0.322
Bangka Barat,2021,100.36,69.6,15431.57,2.75,12.63,0.374
Bangka Tengah,2021,100.18,70.89,9372.1,5.13,10.87,0.35
Bangka Selatan,2021,101.62,67.06,9776.17,3.69,12.1,0.435
Belitung Timur,2021,102.64,71.42,8882.48,7.2,10.27,0.338
Kota Pangkal Pinang,2021,101.17,78.57,15375.99,4.76,9.63,0.127
Karimun,2021,108.98,71.7,14195.74,6.85,11.36,0.169
Bintan,2021,108.04,74.57,21251.13,6.42,12.54,0.173
Natuna,2021,128.08,73.09,20870.16,4.95,11.67,0.287
Lingga,2021,118.45,65.83,4499.27,13.93,14.38,0.203
Kepulauan Anambas,2021,133.26,69.23,16697.53,7.09,9.6,0.295
Kota Batam,2021,110.4,81.12,172843.9,5.05,5.95,0.088
Kota Tanjung Pinang,2021,112.88,78.93,20099.37,9.57,8.75,0.091
Kep. Seribu,2021,131.85,72.1,8154.31,15.06,2.41,0.336
Kota Jakarta Selatan,2021,122.42,84.9,668389.16,3.56,1.63,0.11
Kota Jakarta Timur,2021,119.76,82.97,500418.64,4.28,2.24,0.115
Kota Jakarta Pusat,2021,117.86,81.56,728051.11,4.94,3.08,0.102
Kota Jakarta Barat,2021,120.01,81.76,493811.25,4.31,2.0,0.17
Kota Jakarta Utara,2021,117.21,80.51,535983.61,7.24,2.63,0.2
Bogor,2021,116.99,70.6,248892.48,8.13,4.73,0.328
Sukabumi,2021,99.39,67.07,70738.04,7.7,4.81,0.396
Cianjur,2021,101.48,65.56,50137.66,11.18,6.2,0.426
Bandung,2021,105.22,72.73,130476.83,7.15,5.53,0.308
Garut,2021,93.66,66.45,60836.39,10.65,5.0,0.4
Tasikmalaya,2021,100.83,65.9,39285.64,11.15,7.12,0.347
Ciamis,2021,92.52,70.93,33688.05,7.97,5.87,0.298
Kuningan,2021,96.83,69.71,26919.1,13.1,3.73,0.228
Cirebon,2021,105.75,69.12,52309.94,12.3,6.19,0.256
Majalengka,2021,102.64,67.81,34157.0,12.33,4.94,0.326
Sumedang,2021,101.48,71.8,37061.77,10.71,5.09,0.338
Indramayu,2021,108.61,67.64,81594.85,13.04,3.97,0.337
Subang,2021,102.4,69.13,42292.91,10.03,4.16,0.334
Purwakarta,2021,101.5,70.98,70778.25,8.83,3.45,0.371
Karawang,2021,102.09,70.94,243713.32,8.95,4.8,0.33
Bekasi,2021,105.6,74.45,340389.97,5.21,2.38,0.264
Bandung Barat,2021,110.92,68.29,48764.31,11.3,6.04,0.408
Pangandaran,2021,88.56,68.28,12129.69,9.65,4.32,0.3
Kota Bogor,2021,116.07,76.59,48325.64,7.24,3.08,0.197
Kota Sukabumi,2021,99.05,74.6,13053.04,8.25,4.9,0.228
Kota Bandung,2021,110.91,81.96,297116.26,4.37,2.92,0.202
Kota Cirebon,2021,97.18,75.25,24506.59,10.03,5.71,0.203
Kota Bekasi,2021,106.57,81.95,101383.36,4.74,1.79,0.152
Kota Depok,2021,109.8,81.37,74382.34,2.58,1.55,0.14
Kota Cimahi,2021,103.55,78.06,34244.47,5.35,3.23,0.174
Kota Tasikmalaya,2021,101.35,73.31,22844.02,13.13,5.35,0.187
Kota Banjar,2021,95.11,71.92,4661.08,7.11,5.93,0.261
Cilacap,2021,92.58,70.42,109653.6,11.67,15.15,0.265
Banyumas,2021,92.31,72.44,56919.82,13.66,12.01,0.21
Purbalingga,2021,89.15,69.15,26393.81,16.24,12.15,0.333
Banjarnegara,2021,93.14,67.86,22827.89,16.23,12.41,0.414
Kebumen,2021,97.85,70.05,29563.14,17.83,13.52,0.178
Purworejo,2021,96.31,72.98,19602.72,12.4,15.87,0.193
Wonosobo,2021,98.97,68.43,19856.86,17.67,15.37,0.425
Magelang,2021,94.02,70.12,34176.31,11.91,15.23,0.258
Boyolali,2021,97.92,74.4,34896.96,10.62,13.46,0.237
Klaten,2021,95.28,76.12,42271.26,13.49,14.72,0.155
Sukoharjo,2021,95.96,77.13,38990.46,8.23,11.92,0.152
Wonogiri,2021,98.23,70.49,30581.45,11.55,13.68,0.217
Karanganyar,2021,100.96,75.99,39157.21,10.68,11.92,0.183
Sragen,2021,101.47,74.08,40087.78,13.83,11.8,0.229
Grobogan,2021,98.81,70.41,28815.02,12.74,18.18,0.424
Blora,2021,96.38,69.37,26928.61,12.39,14.02,0.343
Rembang,2021,99.67,70.43,20071.1,15.8,12.89,0.354
Pati,2021,99.51,72.28,45565.94,10.21,11.2,0.291
Kudus,2021,101.85,75.16,108724.52,7.6,11.01,0.216
Jepara,2021,101.87,72.36,32045.7,7.44,11.71,0.345
Demak,2021,105.79,72.57,27649.98,12.92,8.8,0.295
Semarang,2021,105.45,74.24,51796.32,7.82,10.84,0.231
Temanggung,2021,97.83,69.88,22627.79,10.17,18.48,0.38
Kendal,2021,97.43,72.5,45164.8,10.24,14.62,0.255
Batang,2021,95.8,68.92,23125.76,9.68,11.54,0.361
Pekalongan,2021,96.0,70.11,24030.3,10.57,8.22,0.277
Pemalang,2021,97.08,66.56,27443.89,16.56,10.59,0.332
Tegal,2021,97.73,68.79,37334.99,8.6,11.29,0.19
Brebes,2021,98.3,66.32,48966.24,17.43,11.22,0.361
Kota Magelang,2021,94.12,79.43,9178.75,7.75,11.07,0.111
Kota Surakarta,2021,96.1,82.62,50371.56,9.4,7.74,0.102
Kota Salatiga,2021,99.49,83.6,14008.91,5.14,6.89,0.161
Kota Semarang,2021,100.23,83.55,204871.0,4.56,6.66,0.103
Kota Pekalongan,2021,95.8,75.4,11460.58,7.59,7.72,0.104
Kota Tegal,2021,100.63,75.52,16017.04,8.12,7.62,0.18
Kulon Progo,2021,98.0,74.71,12642.56,18.38,14.23,0.087
Bantul,2021,98.59,80.28,28126.17,14.04,9.57,0.1
Gunung Kidul,2021,103.31,70.16,20430.52,17.69,13.27,0.261
Sleman,2021,99.63,84.0,49403.24,8.64,6.95,0.128
Kota Yogyakarta,2021,102.11,87.18,38541.36,7.69,10.59,0.119
Pacitan,2021,98.63,68.57,16381.24,15.11,14.81,0.26
Ponorogo,2021,101.96,71.06,21350.01,10.26,11.96,0.165
Trenggalek,2021,95.53,70.06,19198.25,12.14,13.84,0.283
Tulungagung,2021,99.76,73.15,40166.67,7.51,8.26,0.181
Blitar,2021,95.01,71.05,37819.73,9.65,11.27,0.19
Kediri,2021,95.24,72.56,42692.71,11.64,9.53,0.222
Malang,2021,105.2,70.6,107036.38,10.5,11.05,0.301
Lumajang,2021,99.7,66.07,33678.62,10.05,7.84,0.379
Jember,2021,98.69,67.32,81068.84,10.41,11.05,0.44
Banyuwangi,2021,102.91,71.38,85918.57,8.07,9.25,0.276
Bondowoso,2021,96.06,66.59,21052.23,14.73,13.6,0.47
Situbondo,2021,99.21,67.78,21200.85,12.63,15.67,0.413
