kabupaten,tahun,prediksi_indeks_pembangunan_manusia
Bogor,2022,72.08275960782241
Sukabumi,2022,70.441134963784
Cianjur,2022,67.39048488893283
Bandung,2022,72.73123465166272
Garut,2022,69.0603261365226
Tasikmalaya,2022,68.97906071103363
Ciamis,2022,71.95002853836374
Kuningan,2022,71.33165535011233
Cirebon,2022,71.14425300824463
Majalengka,2022,69.01241989894751
Sumedang,2022,69.39977765474087
Indramayu,2022,69.21299195702767
Subang,2022,69.5644603664133
Purwakarta,2022,69.91624361248428
Karawang,2022,72.9555929479726
Bekasi,2022,76.71476067271684
Bandung Barat,2022,66.83034480103824
Pangandaran,2022,70.03797432208697
Kota Bogor,2022,73.25031044372082
Kota Sukabumi,2022,71.80783180533052
Kota Bandung,2022,77.6899386203121
Kota Cirebon,2022,72.64383929911062
Kota Bekasi,2022,78.13820944308438
Kota Depok,2022,79.36347558168708
Kota Cimahi,2022,75.41804794942955
Kota Tasikmalaya,2022,71.56390360335482
Kota Banjar,2022,70.37701439203715
Cilacap,2022,72.88293000989779
Banyumas,2022,72.80841120277631
Purbalingga,2022,68.10467893071674
Banjarnegara,2022,65.75687263526376
Kebumen,2022,71.67477012324738
Purworejo,2022,72.14114149918548
Wonosobo,2022,64.91927369173412
Magelang,2022,71.57899742213532
Boyolali,2022,72.34356893635979
Klaten,2022,73.89365013951823
Sukoharjo,2022,75.83230050634641
Wonogiri,2022,72.35144873751081
Karanganyar,2022,73.59829885226675
Sragen,2022,71.62815139785229
Grobogan,2022,66.83590556421095
Blora,2022,68.84115463099596
Rembang,2022,66.76721827035226
Pati,2022,71.34002087463215
Kudus,2022,75.1071407157694
Jepara,2022,70.76175687372006
Demak,2022,69.52222595608605
Semarang,2022,73.6475639371461
Temanggung,2022,68.45744646534406
Kendal,2022,72.30545363799871
Batang,2022,69.02925485185075
Pekalongan,2022,70.73653850236643
Pemalang,2022,67.6728192149387
Tegal,2022,74.41879055463183
Brebes,2022,67.45359505128226
Kota Magelang,2022,75.07041904688805
Kota Surakarta,2022,76.26141521124629
Kota Salatiga,2022,75.48206683259473
Kota Semarang,2022,80.74000040518371
Kota Pekalongan,2022,75.10371528196386
Kota Tegal,2022,73.2074644751608
Kulon Progo,2022,72.2927150640655
Bantul,2022,74.2723527512471
Gunung Kidul,2022,68.5607027068823
Sleman,2022,76.07534860622906
Kota Yogyakarta,2022,76.71274121465976
Pacitan,2022,69.69189160972978
Ponorogo,2022,73.46325703693573
Trenggalek,2022,70.13133988132192
Tulungagung,2022,75.28722006088704
Blitar,2022,74.52741292889458
Kediri,2022,73.05036475016112
Malang,2022,71.96039153501896
Lumajang,2022,69.3775667332979
Jember,2022,69.16197743511916
Banyuwangi,2022,73.40133426323234
Bondowoso,2022,65.03411566633079
Situbondo,2022,67.2196739417292
Probolinggo,2022,63.5110685227845
Pasuruan,2022,72.61659466957592
Sidoarjo,2022,79.20237500185176
Mojokerto,2022,73.15833026085768
Jombang,2022,73.39707341453975
Nganjuk,2022,72.17369450497928
Madiun,2022,73.20397780711241
Magetan,2022,73.17673366714217
Ngawi,2022,71.47820304844105
Bojonegoro,2022,71.4762605876889
Tuban,2022,70.98095915233519
Lamongan,2022,71.8045390444952
Gresik,2022,73.90884494124599
Bangkalan,2022,67.83642484594769
Sampang,2022,65.57012064216374
Pamekasan,2022,67.44600170722232
Sumenep,2022,64.94191104323116
Kota Kediri,2022,78.51521272486607
Kota Blitar,2022,73.86895885291645
Kota Malang,2022,78.76313187278637
Kota Probolinggo,2022,72.86757262162882
Kota Pasuruan,2022,74.61919460230386
Kota Mojokerto,2022,74.79000057874092
Kota Madiun,2022,78.45590440049456
Kota Surabaya,2022,80.58892521540236
Kota Batu,2022,74.45351655016061
Pandeglang,2022,70.1444582438262
Lebak,2022,68.7361794360632
Tangerang,2022,75.62990454640678
Serang,2022,75.42683068028195
Kota Tangerang,2022,77.69326539712767
Kota Cilegon,2022,78.69694461746649
Kota Serang,2022,73.9844250434547
Kota Tangerang Selatan,2022,80.13616505468067
Jembrana,2022,72.44552104330934
Tabanan,2022,76.16163602753205
Badung,2022,79.90221986178736
Gianyar,2022,76.63050221785736
Klungkung,2022,72.93742949141043
Bangli,2022,70.15632291662999
Karangasem,2022,71.6810747770555
Buleleng,2022,72.9977859103571
Kota Denpasar,2022,78.52483559094173
Lombok Barat,2022,66.16578072911514
Lombok Tengah,2022,66.71684214188788
Lombok Timur,2022,66.86599000397531
Sumbawa,2022,70.34217685532643
Dompu,2022,68.00486050433719
Bima,2022,68.88411552850977
Sumbawa Barat,2022,72.12744667181039
Lombok Utara,2022,63.8780273969901
Kota Mataram,2022,70.67563983233305
Kota Bima,2022,70.399516250328
Sumba Barat,2022,66.02363981554439
Sumba Timur,2022,66.02020085404298
Kupang,2022,70.15864767932227
Timor Tengah Selatan,2022,68.32108731060946
Timor Tengah Utara,2022,67.35968404504989
Belu,2022,70.38712039334607
Alor,2022,66.335510650851
Lembata,2022,66.68559966829206
Flores Timur,2022,70.83795584390508
Sikka,2022,70.77904502493986
Ende,2022,69.575798549768
Ngada,2022,71.62490306430855
Manggarai,2022,67.5923558885335
Rote Ndao,2022,64.09372645173016
Manggarai Barat,2022,68.01859309955864
Sumba Tengah,2022,65.50323908353543
