kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Demak,2020,103.45
Semarang,2020,107.03
Temanggung,2020,97.9
Kendal,2020,98.02
Batang,2020,94.26
Pekalongan,2020,95.42
Pemalang,2020,92.98
Tegal,2020,94.3
Brebes,2020,99.64
Kota Magelang,2020,94.75
Kota Surakarta,2020,97.85
Kota Salatiga,2020,100.48
Kota Semarang,2020,100
Kota Pekalongan,2020,96.18
Kota Tegal,2020,101.4
Kulon Progo,2020,100.38
Bantul,2020,101.98
Gunung Kidul,2020,105.19
Sleman,2020,101.02
Kota Yogyakarta,2020,102.95
Pacitan,2020,94.37
Ponorogo,2020,99.69
Trenggalek,2020,98.96
Tulungagung,2020,101.75
Blitar,2020,96.81
Kediri,2020,97.83
Malang,2020,106.99
Lumajang,2020,101.47
Jember,2020,105.46
Banyuwangi,2020,107.36
Bondowoso,2020,97.63
Situbondo,2020,96.97
Probolinggo,2020,102.12
Pasuruan,2020,105.68
Sidoarjo,2020,111.38
Mojokerto,2020,98.92
Jombang,2020,101.79
Nganjuk,2020,100.84
Madiun,2020,100.7
Magetan,2020,101.97
Ngawi,2020,100.86
Bojonegoro,2020,101.49
Tuban,2020,102.06
Lamongan,2020,107.85
Gresik,2020,117.07
Bangkalan,2020,107.4
Sampang,2020,105.11
Pamekasan,2020,103.54
Sumenep,2020,105.67
Kota Kediri,2020,98.61
Kota Blitar,2020,99.01
Kota Malang,2020,104.41
Kota Probolinggo,2020,96.16
Kota Pasuruan,2020,102.37
Kota Mojokerto,2020,100.39
Kota Madiun,2020,101.5
Kota Surabaya,2020,111.62
Kota Batu,2020,102.92
Pandeglang,2020,94.99
Lebak,2020,90.46
Tangerang,2020,101.41
Serang,2020,94.35
Kota Tangerang,2020,101.49
Kota Cilegon,2020,97.72
Kota Serang,2020,92.88
Kota Tangerang Selatan,2020,103.93
Jembrana,2020,122.49
Tabanan,2020,116.18
Badung,2020,121.15
Gianyar,2020,105.1
Klungkung,2020,111.95
Bangli,2020,113.99
Karangasem,2020,110.22
Buleleng,2020,115.94
Kota Denpasar,2020,119.42
Lombok Barat,2020,96.56
Lombok Tengah,2020,99.07
Lombok Timur,2020,99.21
Sumbawa,2020,94.49
Dompu,2020,93.52
Bima,2020,103.83
Sumbawa Barat,2020,100.44
Lombok Utara,2020,97.33
Kota Mataram,2020,106.56
Kota Bima,2020,100.99
Sumba Barat,2020,101.51
Sumba Timur,2020,101.5
Kupang,2020,88.49
Timor Tengah Selatan,2020,98.12
Timor Tengah Utara,2020,84.9
Belu,2020,85.71
Alor,2020,105.54
Lembata,2020,97.56
Flores Timur,2020,100.72
Sikka,2020,89.07
Ende,2020,92.18
Ngada,2020,101.49
Manggarai,2020,115.74
Rote Ndao,2020,101.18
Manggarai Barat,2020,96.82
Sumba Tengah,2020,101.95
Sumba Barat Daya,2020,102.6
Nagekeo,2020,92.02
Manggarai Timur,2020,102.76
Sabu Raijua,2020,117.51
Malaka,2020,85.65
Kota Kupang,2020,99.81
Sambas,2020,111.2
Bengkayang,2020,113.86
Landak,2020,113.62
Mempawah,2020,107.91
Sanggau,2020,113.74
Ketapang,2020,105.25
Sintang,2020,114.15
Kapuas Hulu,2020,123.34
Sekadau,2020,107.05
Melawi,2020,113.8
Kayong Utara,2020,110.36
Kubu Raya,2020,103.63
Kota Pontianak,2020,104.59
Kota Singkawang,2020,111.95
Kotawaringin Barat,2020,96.82
Kotawaringin Timur,2020,101.05
Kapuas,2020,94.1
Barito Selatan,2020,99.72
Barito Utara,2020,100.19
Sukamara,2020,105.68
Lamandau,2020,101.34
Seruyan,2020,101.67
Katingan,2020,93.16
Pulang Pisau,2020,97.62
Gunung Mas,2020,101.81
Barito Timur,2020,96.09
Murung Raya,2020,108.02
Kota Palangka Raya,2020,97.6
Tanah Laut,2020,94.34
Kotabaru,2020,98.09
Banjar,2020,102.69
Barito Kuala,2020,102.44
Tapin,2020,96.93
Hulu Sungai Selatan,2020,102.28
Hulu Sungai Tengah,2020,101.74
Hulu Sungai Utara,2020,100.2
Tabalong,2020,104.17
Tanah Bumbu,2020,94.71
Balangan,2020,105.71
Kota Banjarmasin,2020,101.39
Kota Banjar Baru,2020,100.2
Paser,2020,105.04
Kutai Barat,2020,111.62
Kutai Kartanegara,2020,109.18
Kutai Timur,2020,109.67
Berau,2020,103.98
Penajam Paser Utara,2020,105.92
Mahakam Ulu,2020,143.93
Kota Balikpapan,2020,103.71
Kota Samarinda,2020,102.23
Kota Bontang,2020,106.83
Malinau,2020,104.06
Bulungan,2020,106.68
Tana Tidung,2020,108.42
Nunukan,2020,124.45
Kota Tarakan,2020,107.04
Bolaang Mongondow,2020,95.81
Minahasa,2020,99.3
Kepulauan Sangihe,2020,118.13
Kepulauan Talaud,2020,136.51
Minahasa Selatan,2020,103.41
Minahasa Utara,2020,100.63
Bolaang Mongondow Utara,2020,92.31
Siau Tagulandang Biaro,2020,118.52
Minahasa Tenggara,2020,95.81
Bolaang Mongondow Selatan,2020,98.85
Bolaang Mongondow Timur,2020,101.9
Kota Manado,2020,102.83
Kota Bitung,2020,106.21
Kota Tomohon,2020,101.02
Kota Kotamobagu,2020,98.32
Banggai Kepulauan,2020,98.9
Banggai,2020,93.1
Morowali,2020,93.64
Poso,2020,91.69
Donggala,2020,83.53
Toli-Toli,2020,90.78
Buol,2020,92.98
Parigi Moutong,2020,86.8
Tojo Una-Una,2020,91.31
Sigi,2020,82.18
Banggai Laut,2020,104.06
Morowali Utara,2020,90.88
Kota Palu,2020,82.3
Kepulauan Selayar,2020,108.84
Bulukumba,2020,91.69
Bantaeng,2020,86.04
Jeneponto,2020,96.44
Takalar,2020,88.36
Gowa,2020,88.61
Sinjai,2020,87.77
Maros,2020,91.25
Pangkajene dan Kepulauan,2020,92.58
Barru,2020,92.23
Bone,2020,94.23
Soppeng,2020,92.11
Wajo,2020,98.16
Sidenreng Rappang,2020,89.87
Pinrang,2020,95.1
Enrekang,2020,102.31
