kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Luwu,2021,101.1
Tana Toraja,2021,104.99
Luwu Utara,2021,100.53
Luwu Timur,2021,106.8
Toraja Utara,2021,104.19
Kota Makasar,2021,100
Kota Parepare,2021,98.92
Kota Palopo,2021,102.74
Buton,2021,106.92
Muna,2021,99.87
Konawe,2021,93.92
Kolaka,2021,92.5
Konawe Selatan,2021,93.12
Bombana,2021,97.4
Wakatobi,2021,106.09
Kolaka Utara,2021,94.64
Buton Utara,2021,104.98
Konawe Utara,2021,94.94
Kolaka Timur,2021,90.77
Konawe Kepulauan,2021,96.41
Muna Barat,2021,98.18
Buton Tengah,2021,113.86
Buton Selatan,2021,115.29
Kota Kendari,2021,90.06
Kota Baubau,2021,105.17
Boalemo,2021,97.08
Gorontalo,2021,94.84
Pohuwato,2021,93.86
Bone Bolango,2021,95.43
Gorontalo Utara,2021,95.81
Kota Gorontalo,2021,93.45
Majene,2021,83.89
Polewali Mandar,2021,81.41
Mamasa,2021,108.6
Mamuju,2021,89.44
Mamuju Utara / Pasangkayu,2021,97.31
Mamuju Tengah,2021,86.39
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,136.1
Maluku Tenggara,2021,127.19
Maluku Tengah,2021,120.09
Buru,2021,120.36
Kepulauan Aru,2021,126.18
Seram Bagian Barat,2021,117.23
Seram Bagian Timur,2021,121.58
Maluku Barat Daya,2021,138.15
Buru Selatan,2021,130.22
Kota Ambon,2021,109.64
Kota Tual,2021,126.78
Halmahera Barat,2021,108.7
Halmahera Tengah,2021,115.62
Kepulauan Sula,2021,112.49
Halmahera Selatan,2021,113.87
Halmahera Utara,2021,110.54
Halmahera Timur,2021,112.32
Pulau Morotai,2021,108.6
Pulau Taliabu,2021,113.65
Kota Ternate,2021,120.21
Kota Tidore Kepulauan,2021,107.69
Fakfak,2021,135.74
Kaimana,2021,118.86
Teluk Wondama,2021,124.49
Teluk Bintuni,2021,147.41
Manokwari,2021,119.59
Manokwari Selatan,2021,130.44
Pegunungan Arfak,2021,167.64
Raja Ampat,2021,131.59
Sorong,2021,116.23
Sorong Selatan,2021,138.18
Maybrat,2021,131.92
Tambrauw,2021,128.54
Kota Sorong,2021,115.79
Jayapura,2021,121.79
Kepulauan Yapen,2021,136.06
Biak Numfor,2021,125.74
Sarmi,2021,139.46
Keerom,2021,127.56
Waropen,2021,148.22
Supiori,2021,139.26
Mamberamo Raya,2021,171.96
Kota Jayapura,2021,120.57
Merauke,2021,148.88
Boven Digoel,2021,157.75
Mappi,2021,155.91
Asmat,2021,169.93
Mimika,2021,131.79
Dogiyai,2021,212.94
Deiyai,2021,238.23
Nabire,2021,131.74
Paniai,2021,235.44
Intan Jaya,2021,447.97
Puncak,2021,478.12
Puncak Jaya,2021,446.4
Nduga,2021,294.92
Jayawijaya,2021,288.05
Lanny Jaya,2021,320.1
Tolikara,2021,340.56
Mamberamo Tengah,2021,373.08
Yalimo,2021,333.99
Yahukimo,2021,181.94
Pegunungan Bintang,2021,360.05
Simeulue,2022,108.46
Aceh Singkil,2022,103.49
Aceh Selatan,2022,98.46
Aceh Tenggara,2022,98.23
Aceh Timur,2022,102.67
Aceh Tengah,2022,107.2
Aceh Barat,2022,96.43
Aceh Besar,2022,96.54
Pidie,2022,94.63
Bireuen,2022,101.28
Aceh Utara,2022,103.63
Aceh Barat Daya,2022,93.69
Gayo Lues,2022,107.09
Aceh Tamiang,2022,98.08
Nagan Raya,2022,99.97
Aceh Jaya,2022,93.73
Bener Meriah,2022,101.26
Pidie Jaya,2022,101.86
Kota Banda Aceh,2022,101.54
Kota Sabang,2022,107.84
Kota Langsa,2022,99.99
Kota Lhokseumawe,2022,106.36
Kota Subulussalam,2022,93.49
Nias,2022,110.37
Mandailing Natal,2022,98.8
Tapanuli Selatan,2022,100.39
Tapanuli Tengah,2022,106.31
Tapanuli Utara,2022,101.03
Toba Samosir / Toba,2022,104.19
Labuhan Batu,2022,104.32
Asahan,2022,98.34
Simalungun,2022,102.16
Dairi,2022,107.76
Karo,2022,107.48
Deli Serdang,2022,98.06
Langkat,2022,101.33
Nias Selatan,2022,114.04
Humbang Hasundutan,2022,103.8
Pakpak Bharat,2022,104.46
Samosir,2022,107.4
Serdang Bedagai,2022,99.24
Batu Bara,2022,94.49
Padang Lawas Utara,2022,99.67
Padang Lawas,2022,99.71
Labuhan Batu Selatan,2022,106.34
Labuhan Batu Utara,2022,104.35
Nias Utara,2022,112.31
Nias Barat,2022,112.36
Kota Sibolga,2022,109.58
Kota Tanjung Balai,2022,101.77
Kota Pematang Siantar,2022,96.49
Kota Tebing Tinggi,2022,101.32
Kota Medan,2022,100.75
Kota Binjai,2022,93.39
Kota Padangsidimpuan,2022,103.61
Kota Gunungsitoli,2022,110.66
Kepulauan Mentawai,2022,129.04
Pesisir Selatan,2022,96.46
Solok,2022,99.75
Sijunjung,2022,95.38
Tanah Datar,2022,94.48
Padang Pariaman,2022,91.58
Agam,2022,93.78
Lima Puluh Kota,2022,96.08
Pasaman,2022,94.03
Solok Selatan,2022,96.06
Dharmasraya,2022,98.17
Pasaman Barat,2022,99.72
Kota Padang,2022,96.63
Kota Solok,2022,95.89
Kota Sawah Lunto,2022,98.87
Kota Padang Panjang,2022,96.14
Kota Bukittinggi,2022,98.41
Kota Payakumbuh,2022,94.04
Kota Pariaman,2022,95.75
Kuantan Singingi,2022,90.52
Indragiri Hulu,2022,100.37
Indragiri Hilir,2022,99.46
Pelalawan,2022,98.78
Siak,2022,99.2
Kampar,2022,96.84
Rokan Hulu,2022,94.25
Bengkalis,2022,101.05
Rokan Hilir,2022,103.94
Kepulauan Meranti,2022,108.78
Kota Pekanbaru,2022,96.18
Kota Dumai,2022,102.39
Kerinci,2022,103.14
Merangin,2022,90.52
Sarolangun,2022,91.4
Batang Hari,2022,94.8
Muaro Jambi,2022,97.5
Tanjung Jabung Timur,2022,101.8
Tanjung Jabung Barat,2022,105.39
Tebo,2022,94.4
Bungo,2022,93.88
Kota Jambi,2022,94.22
Kota Sungai Penuh,2022,99.44
Ogan Komering Ulu,2022,83.43
Ogan Komering Ilir,2022,95.08
Muara Enim,2022,98.06
Lahat,2022,86.89
Musi Rawas,2022,91.98
Musi Banyuasin,2022,96.79
Banyu Asin,2022,94.37
Ogan Komering Ulu Selatan,2022,90.29
Ogan Komering Ulu Timur,2022,93.59
Ogan Ilir,2022,92.37
Empat Lawang,2022,88.15
Penukal Abab Lematang Ilir,2022,95.64
Musi Rawas Utara,2022,90.17
Kota Palembang,2022,89.45
Kota Prabumulih,2022,93.96
Kota Pagar Alam,2022,95.67
Kota Lubuklinggau,2022,90.03
Bengkulu Selatan,2022,95.69
Rejang Lebong,2022,95.47
Bengkulu Utara,2022,95.55
Kaur,2022,97.4
Seluma,2022,96.07
Mukomuko,2022,95.6
Lebong,2022,95.86
Kepahiang,2022,93.69
Bengkulu Tengah,2022,95.44
Kota Bengkulu,2022,95.79
Lampung Barat,2022,98.06
Tanggamus,2022,86.74
Lampung Selatan,2022,87.05
Lampung Timur,2022,85.95
Lampung Tengah,2022,86.62
Lampung Utara,2022,88.88
Way Kanan,2022,89.69
Tulangbawang,2022,90.49
Pesawaran,2022,87.39
Pringsewu,2022,90.62
Mesuji,2022,99.5
Tulang Bawang Barat,2022,94.98
Pesisir Barat,2022,96.24
Kota Bandar Lampung,2022,87.18
Kota Metro,2022,88.99
Bangka,2022,102.25
Belitung,2022,102.93
Bangka Barat,2022,101.33
Bangka Tengah,2022,101.28
Bangka Selatan,2022,103.97
Belitung Timur,2022,105.68
Kota Pangkal Pinang,2022,102.08
Karimun,2022,108.72
Bintan,2022,106.82
Natuna,2022,122.97
Lingga,2022,121.05
Kepulauan Anambas,2022,129.12
Kota Batam,2022,113.5
Kota Tanjung Pinang,2022,111.35
Kep. Seribu,2022,126.62
Kota Jakarta Selatan,2022,120.71
Kota Jakarta Timur,2022,118.15
Kota Jakarta Pusat,2022,124.96
Kota Jakarta Barat,2022,121.53
Kota Jakarta Utara,2022,117.22
Bogor,2022,117.53
Sukabumi,2022,101.93
Cianjur,2022,105.89
Bandung,2022,111.86
Garut,2022,98.88
Tasikmalaya,2022,104.96
Ciamis,2022,98.46
Kuningan,2022,97.84
Cirebon,2022,104.22
Majalengka,2022,103.56
Sumedang,2022,104.36
Indramayu,2022,108.11
Subang,2022,107.26
Purwakarta,2022,106.38
Karawang,2022,104.03
Bekasi,2022,106.88
Bandung Barat,2022,114.99
Pangandaran,2022,95.74
Kota Bogor,2022,118.61
Kota Sukabumi,2022,102
Kota Bandung,2022,117.21
Kota Cirebon,2022,100.01
Kota Bekasi,2022,107.58
Kota Depok,2022,113.87
Kota Cimahi,2022,109.7
Kota Tasikmalaya,2022,102.98
Kota Banjar,2022,101.04
Cilacap,2022,98.71
Banyumas,2022,97.4
Purbalingga,2022,97.12
Banjarnegara,2022,99.46
Kebumen,2022,97.14
Purworejo,2022,97.92
Wonosobo,2022,100.55
Magelang,2022,97.3
Boyolali,2022,100.01
Klaten,2022,97.32
Sukoharjo,2022,97.21
Wonogiri,2022,98.25
Karanganyar,2022,101.61
Sragen,2022,99.46
Grobogan,2022,100.15
Blora,2022,100.03
Rembang,2022,103.47
Pati,2022,102.67
Kudus,2022,103.39
Jepara,2022,102.88
Demak,2022,102.34
Semarang,2022,105.59
Temanggung,2022,100.67
Kendal,2022,100.86
Batang,2022,101.41
Pekalongan,2022,101.65
Pemalang,2022,102.62
Tegal,2022,99.97
Brebes,2022,103.12
Kota Magelang,2022,97.69
Kota Surakarta,2022,102.24
Kota Salatiga,2022,102.8
Kota Semarang,2022,104.61
Kota Pekalongan,2022,102.43
Kota Tegal,2022,102.99
Kulon Progo,2022,101.36
Bantul,2022,101.23
Gunung Kidul,2022,104.78
Sleman,2022,102.95
Kota Yogyakarta,2022,101.54
Pacitan,2022,96.66
Ponorogo,2022,101.02
Trenggalek,2022,98.3
Tulungagung,2022,100.95
Blitar,2022,95.45
Kediri,2022,95.95
Malang,2022,104.67
Lumajang,2022,98.36
Jember,2022,96.52
Banyuwangi,2022,102.8
Bondowoso,2022,97.34
Situbondo,2022,95.02
Probolinggo,2022,93.29
Pasuruan,2022,100.28
Sidoarjo,2022,108.14
Mojokerto,2022,101.69
Jombang,2022,101.08
Nganjuk,2022,100.07
Madiun,2022,98.67
Magetan,2022,101.95
Ngawi,2022,93.69
Bojonegoro,2022,102.05
Tuban,2022,102.24
Lamongan,2022,103.6
Gresik,2022,113.71
Bangkalan,2022,104.07
Sampang,2022,101.57
Pamekasan,2022,102.91
Sumenep,2022,106.97
Kota Kediri,2022,96.9
Kota Blitar,2022,93.91
Kota Malang,2022,102.33
Kota Probolinggo,2022,91.87
Kota Pasuruan,2022,95.06
Kota Mojokerto,2022,100.67
Kota Madiun,2022,96.64
Kota Surabaya,2022,105.67
Kota Batu,2022,102.49
Pandeglang,2022,87.58
Lebak,2022,91.29
Tangerang,2022,100.47
Serang,2022,94.89
Kota Tangerang,2022,105.58
Kota Cilegon,2022,99.66
Kota Serang,2022,100.48
Kota Tangerang Selatan,2022,103.15
Jembrana,2022,103.04
Tabanan,2022,101.12
Badung,2022,107.92
Gianyar,2022,102.77
Klungkung,2022,107.55
Bangli,2022,106.79
Karangasem,2022,101.28
Buleleng,2022,102.97
Kota Denpasar,2022,109.62
Lombok Barat,2022,104.09
Lombok Tengah,2022,102.23
Lombok Timur,2022,106.43
Sumbawa,2022,99.67
Dompu,2022,107.93
Bima,2022,112.32
Sumbawa Barat,2022,96.47
Lombok Utara,2022,100.31
Kota Mataram,2022,104.09
Kota Bima,2022,112.03
Sumba Barat,2022,95.7
Sumba Timur,2022,96.26
Kupang,2022,83.62
Timor Tengah Selatan,2022,89.84
Timor Tengah Utara,2022,82.61
Belu,2022,81.85
Alor,2022,105.43
Lembata,2022,97.06
Flores Timur,2022,98.17
Sikka,2022,89.8
Ende,2022,90.05
Ngada,2022,90.1
Manggarai,2022,105.6
Rote Ndao,2022,99.57
Manggarai Barat,2022,100.12
Sumba Tengah,2022,96.61
Sumba Barat Daya,2022,95.74
Nagekeo,2022,89.17
Manggarai Timur,2022,98.92
Sabu Raijua,2022,107.9
Malaka,2022,85.01
Kota Kupang,2022,88.3
Sambas,2022,109.18
Bengkayang,2022,109.21
Landak,2022,110.01
Mempawah,2022,105.62
Sanggau,2022,112.43
Ketapang,2022,105.93
Sintang,2022,114.15
Kapuas Hulu,2022,116.6
Sekadau,2022,109.66
Melawi,2022,113.22
Kayong Utara,2022,107.54
Kubu Raya,2022,105.61
Kota Pontianak,2022,103.31
Kota Singkawang,2022,109.55
Kotawaringin Barat,2022,104.99
Kotawaringin Timur,2022,103.76
Kapuas,2022,101.17
Barito Selatan,2022,101.14
Barito Utara,2022,102.12
Sukamara,2022,112.4
Lamandau,2022,109.42
Seruyan,2022,108.72
Katingan,2022,100.39
Pulang Pisau,2022,101.28
Gunung Mas,2022,113.29
Barito Timur,2022,97.8
Murung Raya,2022,113.51
Kota Palangka Raya,2022,98.66
Tanah Laut,2022,99.59
Kotabaru,2022,99.28
Banjar,2022,99.29
Barito Kuala,2022,107.13
Tapin,2022,103.08
Hulu Sungai Selatan,2022,101.89
Hulu Sungai Tengah,2022,99.51
Hulu Sungai Utara,2022,101.15
Tabalong,2022,105.05
Tanah Bumbu,2022,99.01
Balangan,2022,107.09
Kota Banjarmasin,2022,106.16
Kota Banjar Baru,2022,101.74
Paser,2022,109.7
Kutai Barat,2022,119.51
Kutai Kartanegara,2022,109.54
Kutai Timur,2022,118.5
Berau,2022,113.67
Penajam Paser Utara,2022,116.91
Mahakam Ulu,2022,142.97
Kota Balikpapan,2022,108.36
Kota Samarinda,2022,107.03
Kota Bontang,2022,114.15
Malinau,2022,98.11
Bulungan,2022,102.58
Tana Tidung,2022,103.02
Nunukan,2022,114.09
Kota Tarakan,2022,106.3
Bolaang Mongondow,2022,98
Minahasa,2022,102.76
Kepulauan Sangihe,2022,113.15
Kepulauan Talaud,2022,123.6
Minahasa Selatan,2022,99.8
Minahasa Utara,2022,112.87
Bolaang Mongondow Utara,2022,95.22
Siau Tagulandang Biaro,2022,114.08
Minahasa Tenggara,2022,95.66
Bolaang Mongondow Selatan,2022,99.46
Bolaang Mongondow Timur,2022,105.91
Kota Manado,2022,109.67
Kota Bitung,2022,101.6
Kota Tomohon,2022,101.42
Kota Kotamobagu,2022,102.09
Banggai Kepulauan,2022,94.14
Banggai,2022,94.04
Morowali,2022,101.22
Poso,2022,88.77
Donggala,2022,86.06
Toli-Toli,2022,93.73
Buol,2022,93.99
Parigi Moutong,2022,88.23
Tojo Una-Una,2022,88.96
Sigi,2022,82.43
Banggai Laut,2022,103.9
Morowali Utara,2022,103.58
Kota Palu,2022,86.47
Kepulauan Selayar,2022,103.82
Bulukumba,2022,90.65
Bantaeng,2022,90.16
Jeneponto,2022,93.71
Takalar,2022,88.36
Gowa,2022,92.89
Sinjai,2022,89.14
Maros,2022,90.02
Pangkajene dan Kepulauan,2022,88.9
Barru,2022,87.44
Bone,2022,96.96
Soppeng,2022,91.71
Wajo,2022,97.57
Sidenreng Rappang,2022,90.91
Pinrang,2022,90.78
Enrekang,2022,95.95
Luwu,2022,96.52
Tana Toraja,2022,105.71
Luwu Utara,2022,100.51
Luwu Timur,2022,107.47
Toraja Utara,2022,102.66
Kota Makasar,2022,100
Kota Parepare,2022,95.69
Kota Palopo,2022,101.93
Buton,2022,106.52
Muna,2022,96.15
Konawe,2022,89.87
Kolaka,2022,92.41
Konawe Selatan,2022,93.37
Bombana,2022,98.1
Wakatobi,2022,105.01
Kolaka Utara,2022,90.81
Buton Utara,2022,107.23
Konawe Utara,2022,95.78
Kolaka Timur,2022,90.74
Konawe Kepulauan,2022,94.31
Muna Barat,2022,97.38
Buton Tengah,2022,111.23
Buton Selatan,2022,109.91
Kota Kendari,2022,89.23
Kota Baubau,2022,102.69
Boalemo,2022,99.13
Gorontalo,2022,95.84
Pohuwato,2022,93.81
Bone Bolango,2022,94.52
Gorontalo Utara,2022,97.55
Kota Gorontalo,2022,91.06
Majene,2022,80.55
Polewali Mandar,2022,80.04
Mamasa,2022,100.01
Mamuju,2022,88.34
Mamuju Utara / Pasangkayu,2022,92.88
Mamuju Tengah,2022,84.48
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,117.96
Maluku Tenggara,2022,111
Maluku Tengah,2022,102.36
Buru,2022,103.9
Kepulauan Aru,2022,108.91
Seram Bagian Barat,2022,101.64
Seram Bagian Timur,2022,102.06
Maluku Barat Daya,2022,121.68
Buru Selatan,2022,108.18
Kota Ambon,2022,100.62
Kota Tual,2022,111.6
Halmahera Barat,2022,110.54
Halmahera Tengah,2022,113.94
Kepulauan Sula,2022,116.19
Halmahera Selatan,2022,109.54
Halmahera Utara,2022,105.58
Halmahera Timur,2022,102.89
Pulau Morotai,2022,108.92
Pulau Taliabu,2022,114.67
Kota Ternate,2022,113.38
Kota Tidore Kepulauan,2022,111.07
Fakfak,2022,117.96
Kaimana,2022,116.06
Teluk Wondama,2022,117.36
Teluk Bintuni,2022,144.22
Manokwari,2022,114.43
Manokwari Selatan,2022,132.18
Pegunungan Arfak,2022,151.52
Raja Ampat,2022,124.79
Sorong,2022,115.09
Sorong Selatan,2022,118.97
Maybrat,2022,128.63
Tambrauw,2022,130.39
Kota Sorong,2022,117.26
Jayapura,2022,118.75
Kepulauan Yapen,2022,128.94
Biak Numfor,2022,130.13
Sarmi,2022,142.74
Keerom,2022,138.87
Waropen,2022,137.68
Supiori,2022,140.95
Mamberamo Raya,2022,179.63
Kota Jayapura,2022,129.17
Merauke,2022,143.1
Boven Digoel,2022,140.02
Mappi,2022,150.06
Asmat,2022,149.32
Mimika,2022,120.51
Dogiyai,2022,192.14
Deiyai,2022,211.21
Nabire,2022,130.61
Paniai,2022,208.96
Intan Jaya,2022,405.9
Puncak,2022,418.96
Puncak Jaya,2022,373.95
Nduga,2022,258.56
Jayawijaya,2022,252.52
Lanny Jaya,2022,285.18
Tolikara,2022,287.34
Mamberamo Tengah,2022,323.69
Yalimo,2022,278.42
Yahukimo,2022,163.3
Pegunungan Bintang,2022,335.81
