kabupaten,tahun,PDRB
Magelang,2020,32462.03
Boyolali,2020,32687.59
Klaten,2020,39939.64
Sukoharjo,2020,36890.53
Wonogiri,2020,29166.53
Karanganyar,2020,37023.45
Sragen,2020,37850.99
Grobogan,2020,27268.74
Blora,2020,24004.21
Rembang,2020,18943.65
Pati,2020,43288.57
Kudus,2020,109538.56
Jepara,2020,30175.17
Demak,2020,26546.07
Semarang,2020,49046.72
Temanggung,2020,21557.08
Kendal,2020,42586.19
Batang,2020,21621.36
Pekalongan,2020,22803.19
Pemalang,2020,25820.81
Tegal,2020,35299.98
Brebes,2020,47058.6
Kota Magelang,2020,8713.16
Kota Surakarta,2020,47621.82
Kota Salatiga,2020,13271.84
Kota Semarang,2020,188731.69
Kota Pekalongan,2020,10848.87
Kota Tegal,2020,15224.68
Kulon Progo,2020,11738.12
Bantul,2020,26137.02
Gunung Kidul,2020,18936.17
Sleman,2020,45654.72
Kota Yogyakarta,2020,35724.05
Pacitan,2020,15785.2
Ponorogo,2020,20513.38
Trenggalek,2020,18314.46
Tulungagung,2020,38225.99
Blitar,2020,36023.96
Kediri,2020,40626.77
Malang,2020,102027.83
Lumajang,2020,32062.01
Jember,2020,76039.98
Banyuwangi,2020,81102.88
Bondowoso,2020,19935.59
Situbondo,2020,20041.85
Probolinggo,2020,33721.07
Pasuruan,2020,145592.02
Sidoarjo,2020,197240.69
Mojokerto,2020,81940.86
Jombang,2020,39870.88
Nganjuk,2020,26601.16
Madiun,2020,19166.56
Magetan,2020,18771.76
Ngawi,2020,20270.97
Bojonegoro,2020,70258.51
Tuban,2020,62323.07
Lamongan,2020,39169.59
Gresik,2020,134268.56
Bangkalan,2020,23290.01
Sampang,2020,19842.57
Pamekasan,2020,16793.85
Sumenep,2020,32750.24
Kota Kediri,2020,132406.06
Kota Blitar,2020,6708.14
Kota Malang,2020,72163.19
Kota Probolinggo,2020,11074.5
Kota Pasuruan,2020,8047.23
Kota Mojokerto,2020,6588.06
Kota Madiun,2020,13519.88
Kota Surabaya,2020,554509.46
Kota Batu,2020,15916.8
Pandeglang,2020,28371.05
Lebak,2020,29055.01
Tangerang,2020,135731.68
Serang,2020,75880.72
Kota Tangerang,2020,143022.76
Kota Cilegon,2020,102731.77
Kota Serang,2020,31666.09
Kota Tangerang Selatan,2020,82531.47
Jembrana,2020,13437.61
Tabanan,2020,22257.58
Badung,2020,49026.03
Gianyar,2020,25841.72
Klungkung,2020,8450.67
Bangli,2020,6716.09
Karangasem,2020,16399.77
Buleleng,2020,33302.72
Kota Denpasar,2020,49607.46
Lombok Barat,2020,14567.26
Lombok Tengah,2020,16666.62
Lombok Timur,2020,20019.04
Sumbawa,2020,14446.25
Dompu,2020,7064.36
Bima,2020,11406.41
Sumbawa Barat,2020,22764.2
Lombok Utara,2020,4549.1
Kota Mataram,2020,18669.61
Kota Bima,2020,4133.09
Sumba Barat,2020,2351.54
Sumba Timur,2020,6254.37
Kupang,2020,7637.39
Timor Tengah Selatan,2020,7942.76
Timor Tengah Utara,2020,4082.27
Belu,2020,4549.71
Alor,2020,3052.78
Lembata,2020,1854.27
Flores Timur,2020,5269.53
Sikka,2020,5112.02
Ende,2020,6075.21
Ngada,2020,3493.66
Manggarai,2020,4646.21
Rote Ndao,2020,3169.43
Manggarai Barat,2020,3519.37
Sumba Tengah,2020,1195.86
Sumba Barat Daya,2020,3769.1
Nagekeo,2020,2271.91
Manggarai Timur,2020,3288.77
Sabu Raijua,2020,1414.52
Malaka,2020,2832.65
Kota Kupang,2020,23913.11
Sambas,2020,20669.99
Bengkayang,2020,8672.73
Landak,2020,10739.19
Mempawah,2020,8545.29
Sanggau,2020,19921.37
Ketapang,2020,28105.9
Sintang,2020,14711.07
Kapuas Hulu,2020,10273.88
Sekadau,2020,6568.79
Melawi,2020,5232.21
Kayong Utara,2020,4206.76
Kubu Raya,2020,28930.52
Kota Pontianak,2020,37648.51
Kota Singkawang,2020,10126.22
Kotawaringin Barat,2020,20521.9
Kotawaringin Timur,2020,26996.33
Kapuas,2020,16565.14
Barito Selatan,2020,6277.92
Barito Utara,2020,9391.71
Sukamara,2020,4421.5
Lamandau,2020,5773.83
Seruyan,2020,8768.55
Katingan,2020,8297.24
Pulang Pisau,2020,5588.53
Gunung Mas,2020,6275.04
Barito Timur,2020,7103.69
Murung Raya,2020,7762.81
Kota Palangka Raya,2020,18277.2
Tanah Laut,2020,13786.69
Kotabaru,2020,23957.05
Banjar,2020,16527.38
Barito Kuala,2020,8710.47
Tapin,2020,8393.89
Hulu Sungai Selatan,2020,6564.93
Hulu Sungai Tengah,2020,7052.35
Hulu Sungai Utara,2020,4968.81
Tabalong,2020,17742.46
Tanah Bumbu,2020,19899.65
Balangan,2020,10722.3
Kota Banjarmasin,2020,32727.17
Kota Banjar Baru,2020,9538.46
Paser,2020,43234.51
Kutai Barat,2020,27169.27
Kutai Kartanegara,2020,149045.2
Kutai Timur,2020,115555.66
Berau,2020,35450.85
Penajam Paser Utara,2020,9050.58
Mahakam Ulu,2020,2765.99
Kota Balikpapan,2020,103918.75
Kota Samarinda,2020,66526.91
Kota Bontang,2020,55664.04
Malinau,2020,11155.87
Bulungan,2020,18736.57
Tana Tidung,2020,5873.23
Nunukan,2020,26300.56
Kota Tarakan,2020,38053.07
Bolaang Mongondow,2020,8392.4
Minahasa,2020,17427.13
Kepulauan Sangihe,2020,4383.25
Kepulauan Talaud,2020,2266.56
