kabupaten,tahun,PDRB
Malinau,2021,12858.77
Bulungan,2021,20239.9
Tana Tidung,2021,6734.16
Nunukan,2021,29773.28
Kota Tarakan,2021,41858.3
Bolaang Mongondow,2021,8970.18
Minahasa,2021,18643.14
Kepulauan Sangihe,2021,4791.11
Kepulauan Talaud,2021,2421.88
Minahasa Selatan,2021,9581.83
Minahasa Utara,2021,15699.37
Bolaang Mongondow Utara,2021,2727.97
Siau Tagulandang Biaro,2021,2626.95
Minahasa Tenggara,2021,5623.63
Bolaang Mongondow Selatan,2021,2296.39
Bolaang Mongondow Timur,2021,3246.5
Kota Manado,2021,39531
Kota Bitung,2021,18677.63
Kota Tomohon,2021,4586.61
Kota Kotamobagu,2021,4032.38
Banggai Kepulauan,2021,4130.12
Banggai,2021,30825.09
Morowali,2021,98916.81
Poso,2021,9931.43
Donggala,2021,12558.32
Toli-Toli,2021,8901.21
Buol,2021,6133.1
Parigi Moutong,2021,18438.95
Tojo Una-Una,2021,5938.99
Sigi,2021,9728.38
Banggai Laut,2021,2525.76
Morowali Utara,2021,13097.89
Kota Palu,2021,26170.66
Kepulauan Selayar,2021,6835.4
Bulukumba,2021,15868.86
Bantaeng,2021,10081.4
Jeneponto,2021,11053.25
Takalar,2021,11126.11
Gowa,2021,23536.84
Sinjai,2021,12297.08
Maros,2021,19005.61
Pangkajene dan Kepulauan,2021,27574.74
Barru,2021,8057.26
Bone,2021,39369.96
Soppeng,2021,12426.78
Wajo,2021,22319.74
Sidenreng Rappang,2021,15250.13
Pinrang,2021,21758.58
Enrekang,2021,8204.11
Luwu,2021,17839.99
Tana Toraja,2021,8087.09
Luwu Utara,2021,14408.38
Luwu Timur,2021,23614.52
Toraja Utara,2021,10344.3
Kota Makasar,2021,190318.07
Kota Parepare,2021,7826.24
Kota Palopo,2021,8714.31
Buton,2021,4036.29
Muna,2021,7365.51
Konawe,2021,11542.29
Kolaka,2021,27532.65
Konawe Selatan,2021,12654.68
Bombana,2021,6913.33
Wakatobi,2021,4708.75
Kolaka Utara,2021,9186.74
Buton Utara,2021,3420.72
Konawe Utara,2021,4262.56
Kolaka Timur,2021,4834.05
Konawe Kepulauan,2021,1467.82
Muna Barat,2021,2789.51
Buton Tengah,2021,2536.1
Buton Selatan,2021,2993.97
Kota Kendari,2021,23691.31
Kota Baubau,2021,9627.57
Boalemo,2021,5732.84
Gorontalo,2021,13713.96
Pohuwato,2021,7055.55
Bone Bolango,2021,4875.94
Gorontalo Utara,2021,3592.42
Kota Gorontalo,2021,8987.56
Majene,2021,5204.36
Polewali Mandar,2021,13812.49
Mamasa,2021,3126.92
Mamuju,2021,12421.12
Mamuju Utara / Pasangkayu,2021,12386.47
Mamuju Tengah,2021,3557.87
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,2868.14
Maluku Tenggara,2021,3431.33
Maluku Tengah,2021,9108.38
Buru,2021,2525.76
Kepulauan Aru,2021,3669.83
Seram Bagian Barat,2021,3173.04
Seram Bagian Timur,2021,3177.71
Maluku Barat Daya,2021,1989.2
Buru Selatan,2021,1488.38
Kota Ambon,2021,15574.08
Kota Tual,2021,2623.26
Halmahera Barat,2021,2347.23
Halmahera Tengah,2021,9667.27
Kepulauan Sula,2021,2598.53
Halmahera Selatan,2021,10923.68
Halmahera Utara,2021,6005.64
Halmahera Timur,2021,3930.32
Pulau Morotai,2021,1641.95
Pulau Taliabu,2021,1717.57
Kota Ternate,2021,10970.17
Kota Tidore Kepulauan,2021,3028.3
Fakfak,2021,5340.48
Kaimana,2021,2672.4
Teluk Wondama,2021,1559.35
Teluk Bintuni,2021,31380.55
Manokwari,2021,9834.86
Sorong Selatan,2021,1965.13
Sorong,2021,11236.7
Raja Ampat,2021,3434.84
Tambrauw,2021,243.69
Maybrat,2021,751.29
Manokwari Selatan,2021,859.47
Pegunungan Arfak,2021,242.96
Kota Sorong,2021,15596.71
Merauke,2021,16395.8
Jayawijaya,2021,8438.72
Jayapura,2021,17044.82
Nabire,2021,11926.43
Kepulauan Yapen,2021,4417.42
Biak Numfor,2021,5497.7
Paniai,2021,4436.87
Puncak Jaya,2021,1406.07
Mimika,2021,95221.05
Boven Digoel,2021,4938.65
Mappi,2021,3108.44
Asmat,2021,2694.79
Yahukimo,2021,2620.74
Pegunungan Bintang,2021,2079.57
Tolikara,2021,1715.52
Sarmi,2021,3103.77
Keerom,2021,3058.09
Waropen,2021,2113.02
Supiori,2021,1087.28
Mamberamo Raya,2021,1825.88
Nduga,2021,1345.72
Lanny Jaya,2021,2020.05
Mamberamo Tengah,2021,1261.73
Yalimo,2021,1354.41
Puncak,2021,1513.26
Dogiyai,2021,1411.06
Intan Jaya,2021,1300.3
Deiyai,2021,1491.31
Kota Jayapura,2021,33137.9
Simeulue,2022,2688.03
Aceh Singkil,2022,3004.57
Aceh Selatan,2022,6446.52
Aceh Tenggara,2022,5828.69
Aceh Timur,2022,13101.06
Aceh Tengah,2022,8873.41
Aceh Barat,2022,12730.16
Aceh Besar,2022,15456.86
Pidie,2022,12412.37
Bireuen,2022,15469.56
Aceh Utara,2022,28175.46
Aceh Barat Daya,2022,4546.36
Gayo Lues,2022,3076.5
Aceh Tamiang,2022,10433.25
Nagan Raya,2022,10642.66
Aceh Jaya,2022,3121.53
Bener Meriah,2022,5476.17
Pidie Jaya,2022,3980.18
Kota Banda Aceh,2022,21560.51
Kota Sabang,2022,1642.78
Kota Langsa,2022,6263.28
Kota Lhokseumawe,2022,10277.63
Kota Subulussalam,2022,2364.9
Nias,2022,4536.22
Mandailing Natal,2022,16403.53
Tapanuli Selatan,2022,17051.89
Tapanuli Tengah,2022,11635.3
Tapanuli Utara,2022,9645.64
Toba Samosir / Toba,2022,8943.89
Labuhan Batu,2022,41809.01
Asahan,2022,46575.32
Simalungun,2022,47285.89
Dairi,2022,10716.94
Karo,2022,23975.57
Deli Serdang,2022,127546.55
Langkat,2022,51412.76
Nias Selatan,2022,8014.5
Humbang Hasundutan,2022,6919.49
Pakpak Bharat,2022,1393.58
Samosir,2022,5166.25
Serdang Bedagai,2022,33517.99
Batu Bara,2022,40866.72
Padang Lawas Utara,2022,14375.3
Padang Lawas,2022,14586.76
Labuhan Batu Selatan,2022,34154.82
Labuhan Batu Utara,2022,30282.5
Nias Utara,2022,4172.94
Nias Barat,2022,2172.73
Kota Sibolga,2022,6340.37
Kota Tanjung Balai,2022,10466.14
Kota Pematang Siantar,2022,15208.31
Kota Tebing Tinggi,2022,6931.27
Kota Medan,2022,280159.04
Kota Binjai,2022,13315.95
Kota Padangsidimpuan,2022,7384.96
Kota Gunungsitoli,2022,6476.83
Kepulauan Mentawai,2022,5445.7
Pesisir Selatan,2022,16606.49
Solok,2022,15781.14
Sijunjung,2022,10668.55
Tanah Datar,2022,15059.26
Padang Pariaman,2022,22193.35
Agam,2022,23924.34
Lima Puluh Kota,2022,17900.61
Pasaman,2022,10390.58
Solok Selatan,2022,6430.74
Dharmasraya,2022,12233.47
Pasaman Barat,2022,17875.83
Kota Padang,2022,72978.95
Kota Solok,2022,4793.15
Kota Sawah Lunto,2022,4389.76
Kota Padang Panjang,2022,4086.55
Kota Bukittinggi,2022,10194.02
Kota Payakumbuh,2022,8250.3
Kota Pariaman,2022,5881.85
Kuantan Singingi,2022,44909.8
Indragiri Hulu,2022,54184.75
Indragiri Hilir,2022,83163.75
Pelalawan,2022,65553.21
Siak,2022,106995.07
Kampar,2022,103549.57
Rokan Hulu,2022,49107.08
Bengkalis,2022,175972.46
Rokan Hilir,2022,96084.45
Kepulauan Meranti,2022,24921.48
Kota Pekanbaru,2022,144559.27
Kota Dumai,2022,45052.81
Kerinci,2022,12225.79
Merangin,2022,20284.59
Sarolangun,2022,20820.78
Batang Hari,2022,24307.96
Muaro Jambi,2022,32959.04
Tanjung Jabung Timur,2022,25606.55
Tanjung Jabung Barat,2022,50082.77
Tebo,2022,19698.96
Bungo,2022,24909.94
Kota Jambi,2022,36188.04
Kota Sungai Penuh,2022,8680.47
Ogan Komering Ulu,2022,17613.75
Ogan Komering Ilir,2022,39404.79
Muara Enim,2022,113577.46
Lahat,2022,27834.48
Musi Rawas,2022,22342.12
Musi Banyuasin,2022,82431.54
Banyu Asin,2022,34142.57
Ogan Komering Ulu Selatan,2022,10328.5
Ogan Komering Ulu Timur,2022,17832.84
Ogan Ilir,2022,13245.82
Empat Lawang,2022,5823.97
Penukal Abab Lematang Ilir,2022,8194.74
Musi Rawas Utara,2022,8548.51
Kota Palembang,2022,179106.8
Kota Prabumulih,2022,9201.5
Kota Pagar Alam,2022,3255.93
Kota Lubuklinggau,2022,7687.85
Bengkulu Selatan,2022,6712.8
Rejang Lebong,2022,10992.82
Bengkulu Utara,2022,12318.65
Kaur,2022,4226.6
Seluma,2022,5436.5
Mukomuko,2022,6217.19
Lebong,2022,3888.92
Kepahiang,2022,5160.76
Bengkulu Tengah,2022,6544.56
Kota Bengkulu,2022,28090.43
Lampung Barat,2022,8277.7
Tanggamus,2022,18095.56
Lampung Selatan,2022,51285
Lampung Timur,2022,49709.86
Lampung Tengah,2022,82446.77
Lampung Utara,2022,27045.62
Way Kanan,2022,16233.22
Tulangbawang,2022,25986.24
Pesawaran,2022,18601.24
Pringsewu,2022,12841.95
Mesuji,2022,11952.99
Tulang Bawang Barat,2022,13232.98
Pesisir Barat,2022,5345.37
Kota Bandar Lampung,2022,68104.35
Kota Metro,2022,7224.29
Bangka,2022,17956.28
Belitung,2022,12321.75
Bangka Barat,2022,16759.09
Bangka Tengah,2022,10521.53
Bangka Selatan,2022,10690.96
Belitung Timur,2022,9783.22
Kota Pangkal Pinang,2022,17277.43
Karimun,2022,15554.5
Bintan,2022,24513.57
Natuna,2022,24265.43
Lingga,2022,4852.61
Kepulauan Anambas,2022,19909.09
Kota Batam,2022,194836.26
Kota Tanjung Pinang,2022,21792.47
Kep. Seribu,2022,10126.33
Kota Jakarta Selatan,2022,730695.17
Kota Jakarta Timur,2022,547052.29
Kota Jakarta Pusat,2022,795394.8
Kota Jakarta Barat,2022,540753.3
Kota Jakarta Utara,2022,587792.16
Bogor,2022,267743.69
Sukabumi,2022,76243.67
Cianjur,2022,53988.97
Bandung,2022,143002.07
Garut,2022,66590.62
Tasikmalaya,2022,42659.5
Ciamis,2022,36773.71
Kuningan,2022,29519.83
Cirebon,2022,56653.64
Majalengka,2022,37777.31
Sumedang,2022,40025.01
Indramayu,2022,90773.38
Subang,2022,46160.4
Purwakarta,2022,76477.55
Karawang,2022,268228.79
Bekasi,2022,367562.03
Bandung Barat,2022,52921.29
Pangandaran,2022,13163.7
Kota Bogor,2022,52914.6
Kota Sukabumi,2022,14192.25
Kota Bandung,2022,328151.44
Kota Cirebon,2022,26617.84
Kota Bekasi,2022,109881.38
Kota Depok,2022,81166.75
Kota Cimahi,2022,37538.21
Kota Tasikmalaya,2022,24974.68
Kota Banjar,2022,4928.02
Cilacap,2022,121021.8
Banyumas,2022,62817.29
Purbalingga,2022,28823.62
Banjarnegara,2022,24996.48
Kebumen,2022,32614.64
Purworejo,2022,21352.54
Wonosobo,2022,21587.23
Magelang,2022,37431.61
Boyolali,2022,38788.25
Klaten,2022,46591.61
Sukoharjo,2022,42780.63
Wonogiri,2022,33692.2
Karanganyar,2022,43087.76
Sragen,2022,44242.88
Grobogan,2022,31806.89
Blora,2022,30937.3
Rembang,2022,22107.21
Pati,2022,50188.82
Kudus,2022,114559.63
Jepara,2022,35036.38
Demak,2022,30252.47
Semarang,2022,56609.22
Temanggung,2022,24726.44
Kendal,2022,49661.96
Batang,2022,25443.55
Pekalongan,2022,25962.59
Pemalang,2022,29915.42
Tegal,2022,40770.33
Brebes,2022,53647.59
Kota Magelang,2022,10073.48
Kota Surakarta,2022,55848.55
Kota Salatiga,2022,15381.49
Kota Semarang,2022,227373.36
Kota Pekalongan,2022,12590.98
Kota Tegal,2022,17679.91
Kulon Progo,2022,14325.95
Bantul,2022,31192.71
Gunung Kidul,2022,22758.35
Sleman,2022,54718.66
Kota Yogyakarta,2022,42621.75
Pacitan,2022,17986.47
Ponorogo,2022,23028.25
Trenggalek,2022,20882.31
Tulungagung,2022,44133.48
Blitar,2022,41379.31
Kediri,2022,46650.03
Malang,2022,117422.03
Lumajang,2022,36663.73
Jember,2022,88030.45
Banyuwangi,2022,93278.95
Bondowoso,2022,22901.86
Situbondo,2022,23128.64
Probolinggo,2022,38932.78
Pasuruan,2022,172654.17
Sidoarjo,2022,245227.46
Mojokerto,2022,95798.11
Jombang,2022,45935.67
Nganjuk,2022,30819.75
Madiun,2022,21859.38
Magetan,2022,21194.74
Ngawi,2022,22454.95
Bojonegoro,2022,100492.89
Tuban,2022,75187.65
Lamongan,2022,45441.05
Gresik,2022,163907.91
Bangkalan,2022,27164.2
Sampang,2022,23009.31
Pamekasan,2022,19263.35
Sumenep,2022,40255.32
Kota Kediri,2022,152778.31
Kota Blitar,2022,7833.94
Kota Malang,2022,84807.43
Kota Probolinggo,2022,12931.38
Kota Pasuruan,2022,9452.82
Kota Mojokerto,2022,7637.02
Kota Madiun,2022,15818.61
Kota Surabaya,2022,655616.22
Kota Batu,2022,18587.6
Pandeglang,2022,32075.99
Lebak,2022,33474
Tangerang,2022,160164.84
Serang,2022,87982.2
Kota Tangerang,2022,182401.21
Kota Cilegon,2022,120765.57
Kota Serang,2022,36723.31
Kota Tangerang Selatan,2022,96135.92
Jembrana,2022,14532.26
Tabanan,2022,23681.3
Badung,2022,55290
Gianyar,2022,27944.21
Klungkung,2022,9210.21
Bangli,2022,7337.99
Karangasem,2022,17669.49
Buleleng,2022,35805.28
Kota Denpasar,2022,54633.83
Lombok Barat,2022,16561.85
Lombok Tengah,2022,19243.33
Lombok Timur,2022,22599.76
Sumbawa,2022,16107.72
Dompu,2022,7826
Bima,2022,12734.25
Sumbawa Barat,2022,31512.49
Lombok Utara,2022,5050.98
Kota Mataram,2022,21182.26
Kota Bima,2022,4574.61
Sumba Barat,2022,2583.33
Sumba Timur,2022,6829.54
Kupang,2022,8485.37
Timor Tengah Selatan,2022,8810.39
Timor Tengah Utara,2022,4493.89
Belu,2022,5035.59
Alor,2022,3363.59
Lembata,2022,2020.76
Flores Timur,2022,5654.89
Sikka,2022,5702.89
Ende,2022,6792.62
Ngada,2022,3819.4
Manggarai,2022,5097.72
Rote Ndao,2022,3502.73
Manggarai Barat,2022,3883.61
Sumba Tengah,2022,1303.82
Sumba Barat Daya,2022,4176.82
Nagekeo,2022,2487.14
Manggarai Timur,2022,3649.53
Sabu Raijua,2022,1545.74
Malaka,2022,3144.3
Kota Kupang,2022,26211.8
Sambas,2022,24386.48
Bengkayang,2022,10322.51
Landak,2022,12775.86
Mempawah,2022,9955.62
Sanggau,2022,23847.06
Ketapang,2022,34313.99
Sintang,2022,17330.4
Kapuas Hulu,2022,12187.1
Sekadau,2022,7884.13
Melawi,2022,6176.54
Kayong Utara,2022,4980.74
Kubu Raya,2022,35341.87
Kota Pontianak,2022,44320.31
Kota Singkawang,2022,11922.12
Kotawaringin Barat,2022,26265.06
Kotawaringin Timur,2022,33357.93
Kapuas,2022,22994.94
Barito Selatan,2022,8131.63
Barito Utara,2022,14297.64
Sukamara,2022,5459.99
Lamandau,2022,7315.94
Seruyan,2022,10808.71
Katingan,2022,9965.59
Pulang Pisau,2022,6464.66
Gunung Mas,2022,8135.26
Barito Timur,2022,10948.06
Murung Raya,2022,12998.61
Kota Palangka Raya,2022,21954.87
Tanah Laut,2022,19022.37
Kotabaru,2022,33266.53
Banjar,2022,21071.26
Barito Kuala,2022,9867.87
Tapin,2022,12771.26
Hulu Sungai Selatan,2022,8442
Hulu Sungai Tengah,2022,7947.59
Hulu Sungai Utara,2022,5670.77
Tabalong,2022,29172.29
Tanah Bumbu,2022,31609.99
Balangan,2022,19847.84
Kota Banjarmasin,2022,38498.37
Kota Banjar Baru,2022,11786.38
Paser,2022,76262.46
Kutai Barat,2022,43410.26
Kutai Kartanegara,2022,240392.59
Kutai Timur,2022,211101.48
Berau,2022,60158.16
Penajam Paser Utara,2022,13128.96
Mahakam Ulu,2022,3169.29
Kota Balikpapan,2022,127371.53
Kota Samarinda,2022,83353.69
Kota Bontang,2022,63107.88
Malinau,2022,17908.54
Bulungan,2022,24336.84
Tana Tidung,2022,8851.81
Nunukan,2022,40062.51
Kota Tarakan,2022,47205.89
Bolaang Mongondow,2022,9776.24
Minahasa,2022,20369.1
Kepulauan Sangihe,2022,5223.11
Kepulauan Talaud,2022,2631.25
Minahasa Selatan,2022,10526.85
Minahasa Utara,2022,17225.06
Bolaang Mongondow Utara,2022,2982.22
Siau Tagulandang Biaro,2022,2856.4
Minahasa Tenggara,2022,6147.38
Bolaang Mongondow Selatan,2022,2503.52
Bolaang Mongondow Timur,2022,3532.94
Kota Manado,2022,43920.44
Kota Bitung,2022,20620.28
Kota Tomohon,2022,5034.35
Kota Kotamobagu,2022,4412.66
Banggai Kepulauan,2022,4568.79
Banggai,2022,40766.13
Morowali,2022,146772.47
Poso,2022,10891.35
Donggala,2022,13780.85
Toli-Toli,2022,9697.26
Buol,2022,6712.64
Parigi Moutong,2022,20061.5
Tojo Una-Una,2022,6376.49
Sigi,2022,10599.54
Banggai Laut,2022,2803.56
Morowali Utara,2022,21081.54
Kota Palu,2022,28445.14
Kepulauan Selayar,2022,7480.47
Bulukumba,2022,17233.31
Bantaeng,2022,12164.14
Jeneponto,2022,11779.83
Takalar,2022,12257.05
Gowa,2022,25611.85
Sinjai,2022,13530.37
Maros,2022,23544.3
Pangkajene dan Kepulauan,2022,30481.86
Barru,2022,8878.37
Bone,2022,43640.84
Soppeng,2022,13741.84
Wajo,2022,24352.78
Sidenreng Rappang,2022,16699
Pinrang,2022,23765.15
Enrekang,2022,9025.31
Luwu,2022,19980.97
Tana Toraja,2022,8757.44
Luwu Utara,2022,16050.74
Luwu Timur,2022,28410.41
Toraja Utara,2022,11311.31
Kota Makasar,2022,208935.79
Kota Parepare,2022,8697.28
Kota Palopo,2022,9767.89
Buton,2022,4591.95
Muna,2022,8261.39
Konawe,2022,14269.55
Kolaka,2022,31397.2
Konawe Selatan,2022,14536.5
Bombana,2022,7780.3
Wakatobi,2022,5240.83
Kolaka Utara,2022,10096
Buton Utara,2022,3801.58
Konawe Utara,2022,4799.25
Kolaka Timur,2022,5273.68
Konawe Kepulauan,2022,1579.45
Muna Barat,2022,3070
Buton Tengah,2022,2794.15
Buton Selatan,2022,3314.1
Kota Kendari,2022,26455.95
Kota Baubau,2022,10711.39
Boalemo,2022,6115.74
Gorontalo,2022,14894.03
Pohuwato,2022,7539.74
Bone Bolango,2022,5280.23
Gorontalo Utara,2022,3856.32
Kota Gorontalo,2022,9759.18
Majene,2022,5539.8
Polewali Mandar,2022,14844.36
Mamasa,2022,3289.82
Mamuju,2022,13385.01
Mamuju Utara / Pasangkayu,2022,13188.21
Mamuju Tengah,2022,3812.08
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,3151.12
Maluku Tenggara,2022,3784.95
Maluku Tengah,2022,9987.11
Buru,2022,2769.85
Kepulauan Aru,2022,4044.35
Seram Bagian Barat,2022,3500.43
Seram Bagian Timur,2022,3638.14
Maluku Barat Daya,2022,2268.6
Buru Selatan,2022,1632.3
Kota Ambon,2022,17159.5
Kota Tual,2022,2909.68
Halmahera Barat,2022,2543.32
Halmahera Tengah,2022,21311.23
Kepulauan Sula,2022,2866.06
Halmahera Selatan,2022,14328.1
Halmahera Utara,2022,6496.7
Halmahera Timur,2022,4192.86
Pulau Morotai,2022,1762.24
Pulau Taliabu,2022,1877.04
Kota Ternate,2022,12274.82
Kota Tidore Kepulauan,2022,3297.24
Fakfak,2022,5590.94
Kaimana,2022,2740.71
Teluk Wondama,2022,1651.7
Teluk Bintuni,2022,34935
Manokwari,2022,10203.39
Sorong Selatan,2022,2108.92
Sorong,2022,11575.39
Raja Ampat,2022,4065.18
Tambrauw,2022,256.42
Maybrat,2022,786.32
Manokwari Selatan,2022,890.53
Pegunungan Arfak,2022,279.97
Kota Sorong,2022,16178.58
Merauke,2022,17418.94
Jayawijaya,2022,9166.04
Jayapura,2022,18261.29
Nabire,2022,12592
Kepulauan Yapen,2022,4660.05
Biak Numfor,2022,5865.16
Paniai,2022,4716.28
Puncak Jaya,2022,1446.45
Mimika,2022,110424.11
Boven Digoel,2022,5092.41
Mappi,2022,3361.92
Asmat,2022,2883.56
Yahukimo,2022,2694.33
Pegunungan Bintang,2022,2202.88
Tolikara,2022,1817.49
Sarmi,2022,3315.8
Keerom,2022,3204.76
Waropen,2022,2310.87
Supiori,2022,1139.38
Mamberamo Raya,2022,1973.02
Nduga,2022,1413.28
Lanny Jaya,2022,2144.77
Mamberamo Tengah,2022,1286.91
Yalimo,2022,1440.01
Puncak,2022,1613.75
Dogiyai,2022,1438.21
Intan Jaya,2022,1360.14
Deiyai,2022,1572.4
Kota Jayapura,2022,35364.9
