Kabupaten,Tahun,Persentase Penduduk Miskin (P0)
Demak,2020,12.54
Semarang,2020,7.51
Temanggung,2020,9.96
Kendal,2020,9.99
Batang,2020,9.13
Pekalongan,2020,10.19
Pemalang,2020,16.02
Tegal,2020,8.14
Brebes,2020,17.03
Kota Magelang,2020,7.58
Kota Surakarta,2020,9.03
Kota Salatiga,2020,4.94
Kota Semarang,2020,4.34
Kota Pekalongan,2020,7.17
Kota Tegal,2020,7.8
Kulon Progo,2020,18.01
Bantul,2020,13.5
Gunung Kidul,2020,17.07
Sleman,2020,8.12
Kota Yogyakarta,2020,7.27
Pacitan,2020,14.54
Ponorogo,2020,9.95
Trenggalek,2020,11.62
Tulungagung,2020,7.33
Blitar,2020,9.33
Kediri,2020,11.4
Malang,2020,10.15
Lumajang,2020,9.83
Jember,2020,10.09
Banyuwangi,2020,8.06
Bondowoso,2020,14.17
Situbondo,2020,12.22
Probolinggo,2020,18.61
Pasuruan,2020,9.26
Sidoarjo,2020,5.59
Mojokerto,2020,10.57
Jombang,2020,9.94
Nganjuk,2020,11.62
Madiun,2020,11.46
Magetan,2020,10.35
Ngawi,2020,15.44
Bojonegoro,2020,12.87
Tuban,2020,15.91
Lamongan,2020,13.85
Gresik,2020,12.4
Bangkalan,2020,20.56
Sampang,2020,22.78
Pamekasan,2020,14.6
Sumenep,2020,20.18
Kota Kediri,2020,7.69
Kota Blitar,2020,7.78
Kota Malang,2020,4.44
Kota Probolinggo,2020,7.43
Kota Pasuruan,2020,6.66
Kota Mojokerto,2020,6.24
Kota Madiun,2020,4.98
Kota Surabaya,2020,5.02
Kota Batu,2020,3.89
Pandeglang,2020,9.92
Lebak,2020,9.24
Tangerang,2020,6.23
Serang,2020,4.94
Kota Tangerang,2020,5.22
Kota Cilegon,2020,3.69
Kota Serang,2020,6.06
Kota Tangerang Selatan,2020,2.29
Jembrana,2020,4.51
Tabanan,2020,4.27
Badung,2020,2.02
Gianyar,2020,4.08
Klungkung,2020,4.87
Bangli,2020,4.19
Karangasem,2020,5.91
Buleleng,2020,5.32
Kota Denpasar,2020,2.14
Lombok Barat,2020,14.28
Lombok Tengah,2020,13.44
Lombok Timur,2020,15.24
Sumbawa,2020,13.65
Dompu,2020,12.16
Bima,2020,14.49
Sumbawa Barat,2020,13.34
Lombok Utara,2020,26.99
Kota Mataram,2020,8.47
Kota Bima,2020,8.35
Sumba Barat,2020,28.17
Sumba Timur,2020,29.65
Kupang,2020,22.77
Timor Tengah Selatan,2020,27.49
Timor Tengah Utara,2020,22.28
Belu,2020,15.37
Alor,2020,21.09
Lembata,2020,26.14
Flores Timur,2020,10.84
Sikka,2020,13.12
Ende,2020,23.76
Ngada,2020,12.51
Manggarai,2020,20.34
Rote Ndao,2020,27.54
Manggarai Barat,2020,17.71
Sumba Tengah,2020,34.49
Sumba Barat Daya,2020,28
Nagekeo,2020,12.61
Manggarai Timur,2020,26.52
Sabu Raijua,2020,30.18
Malaka,2020,16.04
Kota Kupang,2020,8.96
Sambas,2020,7.7
Bengkayang,2020,6.62
Landak,2020,11.12
Mempawah,2020,4.95
Sanggau,2020,4.46
Ketapang,2020,10.29
Sintang,2020,9.27
Kapuas Hulu,2020,8.99
Sekadau,2020,5.87
Melawi,2020,12.04
Kayong Utara,2020,9.56
Kubu Raya,2020,4.42
Kota Pontianak,2020,4.7
Kota Singkawang,2020,4.53
Kotawaringin Barat,2020,3.59
Kotawaringin Timur,2020,5.62
Kapuas,2020,5.04
Barito Selatan,2020,4.45
Barito Utara,2020,5.17
Sukamara,2020,3.23
Lamandau,2020,3.09
Seruyan,2020,6.85
Katingan,2020,4.79
Pulang Pisau,2020,4.09
Gunung Mas,2020,4.75
Barito Timur,2020,6.09
Murung Raya,2020,5.85
Kota Palangka Raya,2020,3.44
Tanah Laut,2020,4.26
Kotabaru,2020,4.22
Banjar,2020,2.55
Barito Kuala,2020,4.51
Tapin,2020,3.06
Hulu Sungai Selatan,2020,5.17
Hulu Sungai Tengah,2020,5.64
Hulu Sungai Utara,2020,6.14
Tabalong,2020,5.72
Tanah Bumbu,2020,4.6
Balangan,2020,5.32
Kota Banjarmasin,2020,4.39
Kota Banjar Baru,2020,4.01
Paser,2020,9.23
Kutai Barat,2020,9.29
Kutai Kartanegara,2020,7.31
Kutai Timur,2020,9.55
Berau,2020,5.19
Penajam Paser Utara,2020,7.36
Mahakam Ulu,2020,11.44
Kota Balikpapan,2020,2.57
Kota Samarinda,2020,4.76
Kota Bontang,2020,4.38
Malinau,2020,6.63
Bulungan,2020,9.06
Tana Tidung,2020,4.81
Nunukan,2020,6.36
