kabupaten,tahun,IPM
Temanggung,2020,69.57
Kendal,2020,72.29
Batang,2020,68.65
Pekalongan,2020,69.63
Pemalang,2020,66.32
Tegal,2020,68.39
Brebes,2020,66.11
Kota Magelang,2020,78.99
Kota Surakarta,2020,82.21
Kota Salatiga,2020,83.14
Kota Semarang,2020,83.05
Kota Pekalongan,2020,74.98
Kota Tegal,2020,75.07
Kulon Progo,2020,74.46
Bantul,2020,80.01
Gunung Kidul,2020,69.98
Sleman,2020,83.84
Kota Yogyakarta,2020,86.61
Pacitan,2020,68.39
Ponorogo,2020,70.81
Trenggalek,2020,69.74
Tulungagung,2020,73
Blitar,2020,70.58
Kediri,2020,72.05
Malang,2020,70.36
Lumajang,2020,65.46
Jember,2020,67.11
Banyuwangi,2020,70.62
Bondowoso,2020,66.43
Situbondo,2020,67.38
Probolinggo,2020,66.07
Pasuruan,2020,68.6
Sidoarjo,2020,80.29
Mojokerto,2020,73.83
Jombang,2020,72.97
Nganjuk,2020,71.72
Madiun,2020,71.73
Magetan,2020,73.92
Ngawi,2020,70.54
Bojonegoro,2020,69.04
Tuban,2020,68.4
Lamongan,2020,72.58
Gresik,2020,76.11
Bangkalan,2020,64.11
Sampang,2020,62.7
Pamekasan,2020,66.26
Sumenep,2020,66.43
Kota Kediri,2020,78.23
Kota Blitar,2020,78.57
Kota Malang,2020,81.45
Kota Probolinggo,2020,73.27
Kota Pasuruan,2020,75.26
Kota Mojokerto,2020,78.04
Kota Madiun,2020,80.91
Kota Surabaya,2020,82.23
Kota Batu,2020,75.9
Pandeglang,2020,65
Lebak,2020,63.91
Tangerang,2020,71.92
Serang,2020,66.7
Kota Tangerang,2020,78.25
Kota Cilegon,2020,73.05
Kota Serang,2020,72.16
Kota Tangerang Selatan,2020,81.36
Jembrana,2020,72.36
Tabanan,2020,76.17
Badung,2020,81.6
Gianyar,2020,77.36
Klungkung,2020,71.73
Bangli,2020,69.36
Karangasem,2020,67.35
Buleleng,2020,72.55
Kota Denpasar,2020,83.93
Lombok Barat,2020,68.2
Lombok Tengah,2020,66.43
Lombok Timur,2020,66.3
Sumbawa,2020,67.61
Dompu,2020,67.84
Bima,2020,66.3
Sumbawa Barat,2020,71.63
Lombok Utara,2020,64.42
Kota Mataram,2020,78.91
Kota Bima,2020,75.81
Sumba Barat,2020,63.53
Sumba Timur,2020,65.52
Kupang,2020,64.32
Timor Tengah Selatan,2020,62.15
Timor Tengah Utara,2020,63.53
Belu,2020,62.68
Alor,2020,61.33
Lembata,2020,64.74
Flores Timur,2020,64.22
Sikka,2020,65.11
Ende,2020,67.04
Ngada,2020,67.88
Manggarai,2020,64.54
Rote Ndao,2020,62.39
Manggarai Barat,2020,63.89
Sumba Tengah,2020,61.53
Sumba Barat Daya,2020,62.28
Nagekeo,2020,65.81
Manggarai Timur,2020,60.85
Sabu Raijua,2020,57.02
Malaka,2020,60.21
Kota Kupang,2020,79.71
Sambas,2020,67.03
Bengkayang,2020,67.87
Landak,2020,65.98
Mempawah,2020,65.74
Sanggau,2020,65.77
Ketapang,2020,67.17
Sintang,2020,66.88
Kapuas Hulu,2020,65.69
Sekadau,2020,64.76
Melawi,2020,65.55
Kayong Utara,2020,62.68
Kubu Raya,2020,67.95
Kota Pontianak,2020,79.44
Kota Singkawang,2020,71.94
Kotawaringin Barat,2020,72.87
Kotawaringin Timur,2020,71.31
Kapuas,2020,69.48
Barito Selatan,2020,70.22
Barito Utara,2020,70.59
Sukamara,2020,68.03
Lamandau,2020,70.51
Seruyan,2020,67.58
Katingan,2020,68.68
Pulang Pisau,2020,68.45
Gunung Mas,2020,70.81
Barito Timur,2020,71.39
Murung Raya,2020,67.98
Kota Palangka Raya,2020,80.77
Tanah Laut,2020,69.38
Kotabaru,2020,68.86
Banjar,2020,69.18
Barito Kuala,2020,66.22
Tapin,2020,70.11
Hulu Sungai Selatan,2020,68.85
Hulu Sungai Tengah,2020,68.84
Hulu Sungai Utara,2020,65.59
Tabalong,2020,72.19
Tanah Bumbu,2020,70.71
Balangan,2020,68.82
Kota Banjarmasin,2020,77.1
Kota Banjar Baru,2020,79.1
Paser,2020,72.04
Kutai Barat,2020,71.19
Kutai Kartanegara,2020,73.59
Kutai Timur,2020,73
Berau,2020,74.71
Penajam Paser Utara,2020,71.41
Mahakam Ulu,2020,67.09
Kota Balikpapan,2020,80.01
Kota Samarinda,2020,80.11
Kota Bontang,2020,80.02
Malinau,2020,71.94
Bulungan,2020,71.1
Tana Tidung,2020,66.97
Nunukan,2020,65.79
Kota Tarakan,2020,75.83
Bolaang Mongondow,2020,67.89
Minahasa,2020,75.29
Kepulauan Sangihe,2020,70.73
Kepulauan Talaud,2020,69.4
Minahasa Selatan,2020,72.11
Minahasa Utara,2020,73.9
Bolaang Mongondow Utara,2020,66.99
Siau Tagulandang Biaro,2020,67.64
Minahasa Tenggara,2020,70.51
Bolaang Mongondow Selatan,2020,65
Bolaang Mongondow Timur,2020,65.99
Kota Manado,2020,78.93
Kota Bitung,2020,74.1
Kota Tomohon,2020,76.69
Kota Kotamobagu,2020,72.97
Banggai Kepulauan,2020,65.42
Banggai,2020,70.52
Morowali,2020,72.21
Poso,2020,71.28
Donggala,2020,65.56
Toli-Toli,2020,65.69
Buol,2020,67.82
Parigi Moutong,2020,65.44
Tojo Una-Una,2020,64.59
Sigi,2020,68.12
Banggai Laut,2020,65.43
Morowali Utara,2020,68.36
Kota Palu,2020,81.47
Kepulauan Selayar,2020,67.38
Bulukumba,2020,68.99
Bantaeng,2020,68.73
Jeneponto,2020,64.26
Takalar,2020,67.31
Gowa,2020,70.14
Sinjai,2020,67.6
Maros,2020,69.86
Pangkajene dan Kepulauan,2020,68.72
Barru,2020,71
Bone,2020,66.06
Soppeng,2020,68.67
Wajo,2020,69.15
Sidenreng Rappang,2020,71.21
Pinrang,2020,71.26
Enrekang,2020,72.76
Luwu,2020,70.51
Tana Toraja,2020,68.75
Luwu Utara,2020,69.57
Luwu Timur,2020,73.22
Toraja Utara,2020,69.33
Kota Makasar,2020,82.25
Kota Parepare,2020,77.86
Kota Palopo,2020,78.06
Buton,2020,65.98
Muna,2020,69.02
Konawe,2020,71.35
Kolaka,2020,73.45
Konawe Selatan,2020,68.2
Bombana,2020,66.05
Wakatobi,2020,69.48
Kolaka Utara,2020,69.31
Buton Utara,2020,67.87
Konawe Utara,2020,69.86
Kolaka Timur,2020,67.02
Konawe Kepulauan,2020,65.41
Muna Barat,2020,65.08
Buton Tengah,2020,64.37
Buton Selatan,2020,64.93
Kota Kendari,2020,83.53
Kota Baubau,2020,75.9
Boalemo,2020,65.91
Gorontalo,2020,66.92
Pohuwato,2020,65.37
Bone Bolango,2020,69.98
Gorontalo Utara,2020,64.86
Kota Gorontalo,2020,77.13
Majene,2020,66.91
Polewali Mandar,2020,63.84
Mamasa,2020,66.02
Mamuju,2020,68.15
Mamuju Utara / Pasangkayu,2020,67.79
Mamuju Tengah,2020,65.71
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,62.86
Maluku Tenggara,2020,66.2
Maluku Tengah,2020,71.25
Buru,2020,68.95
Kepulauan Aru,2020,63.71
Seram Bagian Barat,2020,65.62
Seram Bagian Timur,2020,64.12
Maluku Barat Daya,2020,61.9
Buru Selatan,2020,64.69
Kota Ambon,2020,80.84
Kota Tual,2020,67.96
Halmahera Barat,2020,65.31
Halmahera Tengah,2020,65.42
Kepulauan Sula,2020,63.53
Halmahera Selatan,2020,63.84
Halmahera Utara,2020,67.5
Halmahera Timur,2020,66.75
Pulau Morotai,2020,62.5
Pulau Taliabu,2020,60.48
Kota Ternate,2020,79.82
Kota Tidore Kepulauan,2020,70.53
Fakfak,2020,68.36
Kaimana,2020,65
Teluk Wondama,2020,60.21
Teluk Bintuni,2020,64.55
Manokwari,2020,72.01
Sorong Selatan,2020,62.42
Sorong,2020,65.74
Raja Ampat,2020,63.89
Tambrauw,2020,53.45
Maybrat,2020,59.52
Manokwari Selatan,2020,59.84
Pegunungan Arfak,2020,56.33
Kota Sorong,2020,78.45
Merauke,2020,70.09
Jayawijaya,2020,58.03
Jayapura,2020,71.69
Nabire,2020,68.83
Kepulauan Yapen,2020,67.66
Biak Numfor,2020,72.19
Paniai,2020,56.31
Puncak Jaya,2020,48.37
Mimika,2020,74.19
Boven Digoel,2020,61.53
Mappi,2020,58.15
Asmat,2020,50.55
Yahukimo,2020,49.37
Pegunungan Bintang,2020,45.44
Tolikara,2020,49.5
Sarmi,2020,63.63
Keerom,2020,66.4
Waropen,2020,64.94
Supiori,2020,62.3
Mamberamo Raya,2020,51.78
Nduga,2020,31.55
Lanny Jaya,2020,47.86
Mamberamo Tengah,2020,47.57
Yalimo,2020,48.34
Puncak,2020,43.04
Dogiyai,2020,54.84
Intan Jaya,2020,47.79
Deiyai,2020,49.46
Kota Jayapura,2020,79.94
Simeulue,2021,66.41
Aceh Singkil,2021,69.22
Aceh Selatan,2021,67.44
Aceh Tenggara,2021,69.44
Aceh Timur,2021,67.83
Aceh Tengah,2021,73.37
Aceh Barat,2021,71.67
Aceh Besar,2021,73.58
Pidie,2021,70.7
Bireuen,2021,72.33
Aceh Utara,2021,69.46
Aceh Barat Daya,2021,66.99
Gayo Lues,2021,67.56
Aceh Tamiang,2021,69.48
Nagan Raya,2021,69.31
Aceh Jaya,2021,69.84
Bener Meriah,2021,73.27
Pidie Jaya,2021,73.6
Kota Banda Aceh,2021,85.71
Kota Sabang,2021,76.11
Kota Langsa,2021,77.44
Kota Lhokseumawe,2021,77.57
Kota Subulussalam,2021,65.27
Nias,2021,62.74
Mandailing Natal,2021,67.19
Tapanuli Selatan,2021,70.33
Tapanuli Tengah,2021,69.61
Tapanuli Utara,2021,73.76
Toba Samosir / Toba,2021,75.39
Labuhan Batu,2021,72.09
Asahan,2021,70.49
Simalungun,2021,73.4
Dairi,2021,71.84
Karo,2021,74.83
Deli Serdang,2021,75.53
Langkat,2021,71.35
Nias Selatan,2021,62.35
Humbang Hasundutan,2021,69.41
Pakpak Bharat,2021,67.94
Samosir,2021,70.83
Serdang Bedagai,2021,70.56
Batu Bara,2021,68.58
Padang Lawas Utara,2021,70.11
Padang Lawas,2021,68.64
Labuhan Batu Selatan,2021,71.69
Labuhan Batu Utara,2021,71.87
Nias Utara,2021,62.82
Nias Barat,2021,61.99
Kota Sibolga,2021,73.94
Kota Tanjung Balai,2021,68.94
Kota Pematang Siantar,2021,79.17
Kota Tebing Tinggi,2021,75.42
Kota Medan,2021,81.21
Kota Binjai,2021,76.01
Kota Padangsidimpuan,2021,75.48
Kota Gunungsitoli,2021,69.61
Kepulauan Mentawai,2021,61.35
Pesisir Selatan,2021,70.03
Solok,2021,69.24
Sijunjung,2021,67.86
Tanah Datar,2021,72.46
Padang Pariaman,2021,70.76
Agam,2021,72.57
Lima Puluh Kota,2021,69.68
Pasaman,2021,66.77
Solok Selatan,2021,69.23
Dharmasraya,2021,71.76
Pasaman Barat,2021,68.76
Kota Padang,2021,82.9
Kota Solok,2021,78.41
Kota Sawah Lunto,2021,72.88
Kota Padang Panjang,2021,77.97
Kota Bukittinggi,2021,80.7
Kota Payakumbuh,2021,79.08
Kota Pariaman,2021,77.07
Kuantan Singingi,2021,70.6
Indragiri Hulu,2021,70.01
Indragiri Hilir,2021,66.63
Pelalawan,2021,72.08
Siak,2021,73.98
Kampar,2021,73.02
Rokan Hulu,2021,69.67
Bengkalis,2021,73.58
Rokan Hilir,2021,69.34
Kepulauan Meranti,2021,65.7
Kota Pekanbaru,2021,81.58
Kota Dumai,2021,74.75
Kerinci,2021,71.45
Merangin,2021,69.53
Sarolangun,2021,70.25
Batang Hari,2021,70.11
Muaro Jambi,2021,69.55
Tanjung Jabung Timur,2021,64.91
Tanjung Jabung Barat,2021,68.16
Tebo,2021,69.35
Bungo,2021,70.15
Kota Jambi,2021,79.12
Kota Sungai Penuh,2021,75.7
Ogan Komering Ulu,2021,69.6
Ogan Komering Ilir,2021,67.17
Muara Enim,2021,68.86
Lahat,2021,67.58
Musi Rawas,2021,67.01
Musi Banyuasin,2021,68.1
Banyu Asin,2021,67.13
Ogan Komering Ulu Selatan,2021,65.34
Ogan Komering Ulu Timur,2021,69.58
Ogan Ilir,2021,67.17
Empat Lawang,2021,65.39
Penukal Abab Lematang Ilir,2021,64.88
Musi Rawas Utara,2021,64.93
Kota Palembang,2021,78.72
Kota Prabumulih,2021,74.67
Kota Pagar Alam,2021,68.68
Kota Lubuklinggau,2021,74.89
Bengkulu Selatan,2021,70.75
Rejang Lebong,2021,70.77
Bengkulu Utara,2021,69.28
Kaur,2021,67.17
Seluma,2021,67.03
Mukomuko,2021,68.64
Lebong,2021,67.46
Kepahiang,2021,68.62
Bengkulu Tengah,2021,67.96
Kota Bengkulu,2021,80.54
Lampung Barat,2021,67.9
Tanggamus,2021,66.65
Lampung Selatan,2021,68.49
Lampung Timur,2021,69.66
Lampung Tengah,2021,70.23
Lampung Utara,2021,67.89
Way Kanan,2021,67.57
Tulangbawang,2021,68.73
Pesawaran,2021,66.14
Pringsewu,2021,70.45
Mesuji,2021,64.04
Tulang Bawang Barat,2021,66.22
Pesisir Barat,2021,64.3
Kota Bandar Lampung,2021,77.58
Kota Metro,2021,77.49
Bangka,2021,72.46
Belitung,2021,72.57
Bangka Barat,2021,69.6
Bangka Tengah,2021,70.89
Bangka Selatan,2021,67.06
Belitung Timur,2021,71.42
Kota Pangkal Pinang,2021,78.57
Karimun,2021,71.7
Bintan,2021,74.57
Natuna,2021,73.09
Lingga,2021,65.83
Kepulauan Anambas,2021,69.23
Kota Batam,2021,81.12
Kota Tanjung Pinang,2021,78.93
Kep. Seribu,2021,72.1
Kota Jakarta Selatan,2021,84.9
Kota Jakarta Timur,2021,82.97
Kota Jakarta Pusat,2021,81.56
Kota Jakarta Barat,2021,81.76
Kota Jakarta Utara,2021,80.51
Bogor,2021,70.6
Sukabumi,2021,67.07
Cianjur,2021,65.56
Bandung,2021,72.73
Garut,2021,66.45
Tasikmalaya,2021,65.9
Ciamis,2021,70.93
Kuningan,2021,69.71
Cirebon,2021,69.12
Majalengka,2021,67.81
Sumedang,2021,71.8
Indramayu,2021,67.64
Subang,2021,69.13
Purwakarta,2021,70.98
Karawang,2021,70.94
Bekasi,2021,74.45
Bandung Barat,2021,68.29
Pangandaran,2021,68.28
Kota Bogor,2021,76.59
Kota Sukabumi,2021,74.6
Kota Bandung,2021,81.96
Kota Cirebon,2021,75.25
Kota Bekasi,2021,81.95
Kota Depok,2021,81.37
Kota Cimahi,2021,78.06
Kota Tasikmalaya,2021,73.31
Kota Banjar,2021,71.92
Cilacap,2021,70.42
Banyumas,2021,72.44
Purbalingga,2021,69.15
Banjarnegara,2021,67.86
Kebumen,2021,70.05
Purworejo,2021,72.98
Wonosobo,2021,68.43
Magelang,2021,70.12
Boyolali,2021,74.4
Klaten,2021,76.12
Sukoharjo,2021,77.13
Wonogiri,2021,70.49
Karanganyar,2021,75.99
Sragen,2021,74.08
Grobogan,2021,70.41
Blora,2021,69.37
Rembang,2021,70.43
Pati,2021,72.28
Kudus,2021,75.16
Jepara,2021,72.36
Demak,2021,72.57
Semarang,2021,74.24
Temanggung,2021,69.88
Kendal,2021,72.5
Batang,2021,68.92
Pekalongan,2021,70.11
Pemalang,2021,66.56
Tegal,2021,68.79
Brebes,2021,66.32
Kota Magelang,2021,79.43
Kota Surakarta,2021,82.62
Kota Salatiga,2021,83.6
Kota Semarang,2021,83.55
Kota Pekalongan,2021,75.4
Kota Tegal,2021,75.52
Kulon Progo,2021,74.71
Bantul,2021,80.28
Gunung Kidul,2021,70.16
Sleman,2021,84
Kota Yogyakarta,2021,87.18
Pacitan,2021,68.57
Ponorogo,2021,71.06
Trenggalek,2021,70.06
Tulungagung,2021,73.15
Blitar,2021,71.05
Kediri,2021,72.56
Malang,2021,70.6
Lumajang,2021,66.07
Jember,2021,67.32
Banyuwangi,2021,71.38
Bondowoso,2021,66.59
Situbondo,2021,67.78
Probolinggo,2021,66.26
Pasuruan,2021,68.93
Sidoarjo,2021,80.65
Mojokerto,2021,74.15
Jombang,2021,73.45
Nganjuk,2021,71.97
Madiun,2021,71.88
Magetan,2021,74.15
Ngawi,2021,71.04
Bojonegoro,2021,69.59
Tuban,2021,68.91
Lamongan,2021,73.12
Gresik,2021,76.5
Bangkalan,2021,64.36
Sampang,2021,62.8
Pamekasan,2021,66.4
Sumenep,2021,67.04
Kota Kediri,2021,78.6
Kota Blitar,2021,78.98
Kota Malang,2021,82.04
Kota Probolinggo,2021,73.66
Kota Pasuruan,2021,75.62
Kota Mojokerto,2021,78.43
Kota Madiun,2021,81.25
Kota Surabaya,2021,82.31
Kota Batu,2021,76.28
Pandeglang,2021,65.17
Lebak,2021,64.03
Tangerang,2021,72.29
Serang,2021,66.82
Kota Tangerang,2021,78.5
Kota Cilegon,2021,73.35
Kota Serang,2021,72.44
Kota Tangerang Selatan,2021,81.6
Jembrana,2021,72.75
Tabanan,2021,76.45
Badung,2021,81.83
Gianyar,2021,77.7
Klungkung,2021,71.75
Bangli,2021,69.37
Karangasem,2021,67.36
Buleleng,2021,72.56
Kota Denpasar,2021,84.03
Lombok Barat,2021,68.61
Lombok Tengah,2021,66.72
Lombok Timur,2021,66.66
Sumbawa,2021,68.01
Dompu,2021,68.45
Bima,2021,66.66
Sumbawa Barat,2021,71.85
Lombok Utara,2021,64.77
Kota Mataram,2021,79.14
Kota Bima,2021,76.11
Sumba Barat,2021,63.83
Sumba Timur,2021,65.74
Kupang,2021,64.41
Timor Tengah Selatan,2021,62.16
Timor Tengah Utara,2021,63.69
Belu,2021,62.77
Alor,2021,61.37
Lembata,2021,64.75
Flores Timur,2021,64.22
Sikka,2021,65.41
Ende,2021,67.3
Ngada,2021,67.88
Manggarai,2021,65.01
Rote Ndao,2021,62.6
Manggarai Barat,2021,64.17
Sumba Tengah,2021,61.8
Sumba Barat Daya,2021,62.29
Nagekeo,2021,65.82
Manggarai Timur,2021,61.37
Sabu Raijua,2021,57.03
Malaka,2021,60.42
Kota Kupang,2021,79.74
Sambas,2021,67.1
Bengkayang,2021,68.04
Landak,2021,66.21
Mempawah,2021,66.03
Sanggau,2021,66.2
