Kabupaten,Tahun,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten_kota
Kudus,2020,10.06
Jepara,2020,13.64
Demak,2020,8.02
Semarang,2020,9.68
Temanggung,2020,16.16
Kendal,2020,11.72
Batang,2020,9.93
Pekalongan,2020,7.81
Pemalang,2020,10.26
Tegal,2020,9.33
Brebes,2020,11.3
Kota Magelang,2020,10.58
Kota Surakarta,2020,7.83
Kota Salatiga,2020,6.54
Kota Semarang,2020,5.69
Kota Pekalongan,2020,7.35
Kota Tegal,2020,5.82
Kulon Progo,2020,13.29
Bantul,2020,9.38
Gunung Kidul,2020,14.52
Sleman,2020,6.68
Kota Yogyakarta,2020,8.3
Pacitan,2020,11.25
Ponorogo,2020,9.95
Trenggalek,2020,12.69
Tulungagung,2020,8.4
Blitar,2020,11.39
Kediri,2020,9.03
Malang,2020,10.59
Lumajang,2020,11.29
Jember,2020,9.72
Banyuwangi,2020,10.32
Bondowoso,2020,13.64
Situbondo,2020,15.49
Probolinggo,2020,9.74
Pasuruan,2020,8.56
Sidoarjo,2020,4.09
Mojokerto,2020,5.93
Jombang,2020,8.95
Nganjuk,2020,9.74
Madiun,2020,10.71
Magetan,2020,9.05
Ngawi,2020,12.75
Bojonegoro,2020,8.74
Tuban,2020,10.26
Lamongan,2020,6.02
Gresik,2020,4.43
Bangkalan,2020,7.39
Sampang,2020,7.8
Pamekasan,2020,9.83
Sumenep,2020,8.06
Kota Kediri,2020,7.19
Kota Blitar,2020,5.44
Kota Malang,2020,5.31
Kota Probolinggo,2020,5.9
Kota Pasuruan,2020,5.55
Kota Mojokerto,2020,5.61
Kota Madiun,2020,5.89
Kota Surabaya,2020,3.82
Kota Batu,2020,5.33
Pandeglang,2020,3.6
Lebak,2020,3.14
Tangerang,2020,1.84
Serang,2020,2.44
Kota Tangerang,2020,1.42
Kota Cilegon,2020,2.02
Kota Serang,2020,1.29
Kota Tangerang Selatan,2020,1.51
Jembrana,2020,6.59
Tabanan,2020,4.12
Badung,2020,2.61
Gianyar,2020,2.03
Klungkung,2020,5.03
Bangli,2020,4.16
Karangasem,2020,6.71
Buleleng,2020,5.47
Kota Denpasar,2020,2.52
Lombok Barat,2020,2.4
Lombok Tengah,2020,3.56
Lombok Timur,2020,3.43
Sumbawa,2020,2.48
Dompu,2020,2.73
Bima,2020,4.03
Sumbawa Barat,2020,0.91
Lombok Utara,2020,3.65
Kota Mataram,2020,1.21
Kota Bima,2020,1.56
Sumba Barat,2020,8.66
Sumba Timur,2020,9.04
Kupang,2020,15.43
Timor Tengah Selatan,2020,14
Timor Tengah Utara,2020,13.97
Belu,2020,12
Alor,2020,12.87
Lembata,2020,20.04
Flores Timur,2020,15.83
Sikka,2020,16.84
Ende,2020,12.73
Ngada,2020,8.93
Manggarai,2020,11.11
Rote Ndao,2020,16.95
Manggarai Barat,2020,9.9
Sumba Tengah,2020,10.94
Sumba Barat Daya,2020,10.5
Nagekeo,2020,11.95
Manggarai Timur,2020,13.52
Sabu Raijua,2020,11.43
Malaka,2020,15.42
Kota Kupang,2020,12.58
Sambas,2020,21.27
Bengkayang,2020,21.01
Landak,2020,24.23
Mempawah,2020,20.71
Sanggau,2020,24.52
Ketapang,2020,20.4
Sintang,2020,23.36
Kapuas Hulu,2020,23.87
Sekadau,2020,22.21
Melawi,2020,26.96
Kayong Utara,2020,19.17
Kubu Raya,2020,19.33
Kota Pontianak,2020,9.47
Kota Singkawang,2020,8.69
Kotawaringin Barat,2020,9.36
Kotawaringin Timur,2020,10.62
Kapuas,2020,15.4
Barito Selatan,2020,10.98
Barito Utara,2020,11.34
Sukamara,2020,6.77
Lamandau,2020,5.52
Seruyan,2020,7.9
Katingan,2020,8.3
Pulang Pisau,2020,9.65
Gunung Mas,2020,5.6
Barito Timur,2020,12.35
Murung Raya,2020,9.59
Kota Palangka Raya,2020,8.85
Tanah Laut,2020,2.5
Kotabaru,2020,2.1
Banjar,2020,3.17
Barito Kuala,2020,4.25
Tapin,2020,2.81
Hulu Sungai Selatan,2020,3.94
Hulu Sungai Tengah,2020,4.64
Hulu Sungai Utara,2020,3.87
Tabalong,2020,2.05
Tanah Bumbu,2020,1.81
Balangan,2020,3.45
Kota Banjarmasin,2020,1.5
Kota Banjar Baru,2020,1.4
Paser,2020,11.64
Kutai Barat,2020,11.17
Kutai Kartanegara,2020,11.14
Kutai Timur,2020,9.24
Berau,2020,5.14
Penajam Paser Utara,2020,11.58
Mahakam Ulu,2020,8.2
Kota Balikpapan,2020,5.9
Kota Samarinda,2020,6.29
Kota Bontang,2020,5.21
Malinau,2020,10.73
Bulungan,2020,10.77
Tana Tidung,2020,10.92
Nunukan,2020,15.42
Kota Tarakan,2020,10.78
Bolaang Mongondow,2020,4.64
Minahasa,2020,4.77
Kepulauan Sangihe,2020,6.72
Kepulauan Talaud,2020,5.94
Minahasa Selatan,2020,6.87
Minahasa Utara,2020,3.62
Bolaang Mongondow Utara,2020,8.55
Siau Tagulandang Biaro,2020,6.59
Minahasa Tenggara,2020,6.45
Bolaang Mongondow Selatan,2020,5.91
Bolaang Mongondow Timur,2020,4.6
Kota Manado,2020,2.22
Kota Bitung,2020,3.06
Kota Tomohon,2020,2.77
Kota Kotamobagu,2020,2.44
Banggai Kepulauan,2020,13.27
Banggai,2020,8.15
Morowali,2020,4.97
Poso,2020,7.31
Donggala,2020,10.41
Toli-Toli,2020,9.58
Buol,2020,8.06
Parigi Moutong,2020,11.27
Tojo Una-Una,2020,8.7
Sigi,2020,10.66
Banggai Laut,2020,10.51
Morowali Utara,2020,7.41
Kota Palu,2020,4.36
Kepulauan Selayar,2020,11.87
Bulukumba,2020,14.73
Bantaeng,2020,9.92
Jeneponto,2020,14.34
Takalar,2020,12.13
Gowa,2020,7.81
Sinjai,2020,10.91
Maros,2020,7.83
Pangkajene dan Kepulauan,2020,9.84
Barru,2020,10.43
Bone,2020,16.37
Soppeng,2020,19.78
Wajo,2020,10.68
Sidenreng Rappang,2020,9.62
Pinrang,2020,11.04
Enrekang,2020,10.96
Luwu,2020,10.74
Tana Toraja,2020,10.1
Luwu Utara,2020,10.81
Luwu Timur,2020,8.49
Toraja Utara,2020,8.66
Kota Makasar,2020,5.46
Kota Parepare,2020,5.95
Kota Palopo,2020,4.22
Buton,2020,13.42
Muna,2020,12.04
Konawe,2020,8.97
Kolaka,2020,6.36
Konawe Selatan,2020,10.1
Bombana,2020,9.43
Wakatobi,2020,11.24
Kolaka Utara,2020,8.34
Buton Utara,2020,10.36
Konawe Utara,2020,6.07
Kolaka Timur,2020,8.49
Konawe Kepulauan,2020,13.98
Muna Barat,2020,12.64
Buton Tengah,2020,17.09
Buton Selatan,2020,11.29
Kota Kendari,2020,7.42
Kota Baubau,2020,13.07
Boalemo,2020,12.99
Gorontalo,2020,10.74
Pohuwato,2020,11.48
Bone Bolango,2020,7.98
Gorontalo Utara,2020,14.06
Kota Gorontalo,2020,6.29
Majene,2020,7.45
Polewali Mandar,2020,9.49
Mamasa,2020,17.71
Mamuju,2020,7.91
Mamuju Utara / Pasangkayu,2020,6.35
Mamuju Tengah,2020,7.32
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,37.05
Maluku Tenggara,2020,36.42
Maluku Tengah,2020,43.07
Buru,2020,39.15
Kepulauan Aru,2020,40.42
Seram Bagian Barat,2020,43.3
Seram Bagian Timur,2020,38.31
