Kabupaten,Tahun,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten_kota
Sidenreng Rappang,2021,6.33
Pinrang,2021,8.12
Enrekang,2021,7.85
Luwu,2021,7.76
Tana Toraja,2021,8.43
Luwu Utara,2021,8.53
Luwu Timur,2021,7
Toraja Utara,2021,6.28
Kota Makasar,2021,4.35
Kota Parepare,2021,3.92
Kota Palopo,2021,3.69
Buton,2021,13.16
Muna,2021,13.86
Konawe,2021,9.37
Kolaka,2021,11.37
Konawe Selatan,2021,10.63
Bombana,2021,10.75
Wakatobi,2021,12.28
Kolaka Utara,2021,8.61
Buton Utara,2021,13.3
Konawe Utara,2021,9.1
Kolaka Timur,2021,10.88
Konawe Kepulauan,2021,12.37
Muna Barat,2021,13.29
Buton Tengah,2021,17.56
Buton Selatan,2021,9.88
Kota Kendari,2021,7.66
Kota Baubau,2021,13.05
Boalemo,2021,17.47
Gorontalo,2021,14.97
Pohuwato,2021,15.32
Bone Bolango,2021,13.25
Gorontalo Utara,2021,15.77
Kota Gorontalo,2021,12.96
Majene,2021,9.86
Polewali Mandar,2021,12.97
Mamasa,2021,15.41
Mamuju,2021,10.41
Mamuju Utara / Pasangkayu,2021,5.38
Mamuju Tengah,2021,7.83
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,35.01
Maluku Tenggara,2021,32.05
Maluku Tengah,2021,35.1
Buru,2021,30.87
Kepulauan Aru,2021,31.1
Seram Bagian Barat,2021,39.2
Seram Bagian Timur,2021,35.93
Maluku Barat Daya,2021,25.98
Buru Selatan,2021,40.88
Kota Ambon,2021,16.23
Kota Tual,2021,26.57
Halmahera Barat,2021,34.62
Halmahera Tengah,2021,27.03
Kepulauan Sula,2021,42.17
Halmahera Selatan,2021,30.8
Halmahera Utara,2021,29.93
Halmahera Timur,2021,33.37
Pulau Morotai,2021,28.87
Pulau Taliabu,2021,49.84
Kota Ternate,2021,13.6
Kota Tidore Kepulauan,2021,21.58
Fakfak,2021,20.43
Kaimana,2021,25.86
Teluk Wondama,2021,20.26
Teluk Bintuni,2021,20.11
Manokwari,2021,28.74
Manokwari Selatan,2021,26.34
Pegunungan Arfak,2021,54.25
Raja Ampat,2021,29.44
Sorong,2021,25.44
Sorong Selatan,2021,31.62
Maybrat,2021,22.18
Tambrauw,2021,36.61
Kota Sorong,2021,17.61
Jayapura,2021,29.83
Kepulauan Yapen,2021,35.84
Biak Numfor,2021,36.62
Sarmi,2021,51.06
Keerom,2021,51.04
Waropen,2021,33.2
Supiori,2021,29.63
Mamberamo Raya,2021,38.99
Kota Jayapura,2021,18.46
Merauke,2021,27.39
Boven Digoel,2021,43.21
Mappi,2021,56.26
Asmat,2021,39.37
Mimika,2021,27.33
Dogiyai,2021,79.67
Deiyai,2021,63.65
Nabire,2021,23.86
Paniai,2021,62.78
Intan Jaya,2021,47.98
Puncak,2021,34.54
Puncak Jaya,2021,23.41
Nduga,2021,7.49
Jayawijaya,2021,37.39
Lanny Jaya,2021,24.85
Tolikara,2021,59.49
Mamberamo Tengah,2021,51
Yalimo,2021,29.08
Yahukimo,2021,54.35
Pegunungan Bintang,2021,43.62
Simeulue,2022,15.8
Aceh Singkil,2022,9.8
Aceh Selatan,2022,16.02
Aceh Tenggara,2022,13.69
Aceh Timur,2022,9.05
Aceh Tengah,2022,10
Aceh Barat,2022,6.55
Aceh Besar,2022,10.46
Pidie,2022,11
Bireuen,2022,6.78
Aceh Utara,2022,17.02
Aceh Barat Daya,2022,12.82
Gayo Lues,2022,8.27
Aceh Tamiang,2022,15.13
Nagan Raya,2022,5.95
Aceh Jaya,2022,9.33
Bener Meriah,2022,9.27
Pidie Jaya,2022,7.78
Kota Banda Aceh,2022,6.29
Kota Sabang,2022,8.4
Kota Langsa,2022,11.87
Kota Lhokseumawe,2022,12.84
Kota Subulussalam,2022,10.19
Nias,2022,9.53
Mandailing Natal,2022,7.83
Tapanuli Selatan,2022,7.14
Tapanuli Tengah,2022,8.84
Tapanuli Utara,2022,6.83
Toba Samosir / Toba,2022,5.56
Labuhan Batu,2022,9.91
Asahan,2022,7.66
Simalungun,2022,10.17
Dairi,2022,6.66
Karo,2022,6.42
Deli Serdang,2022,10.32
Langkat,2022,10.74
Nias Selatan,2022,13.08
Humbang Hasundutan,2022,6.88
Pakpak Bharat,2022,5.46
Samosir,2022,5.95
Serdang Bedagai,2022,9.64
Batu Bara,2022,7.04
Padang Lawas Utara,2022,5.21
Padang Lawas,2022,5.11
Labuhan Batu Selatan,2022,6.73
Labuhan Batu Utara,2022,7.58
Nias Utara,2022,10.69
Nias Barat,2022,10.44
Kota Sibolga,2022,7.08
Kota Tanjung Balai,2022,7.14
Kota Pematang Siantar,2022,9.75
Kota Tebing Tinggi,2022,10.52
Kota Medan,2022,7.86
Kota Binjai,2022,11.07
Kota Padangsidimpuan,2022,7.92
Kota Gunungsitoli,2022,8.92
Kepulauan Mentawai,2022,11.19
Pesisir Selatan,2022,6.49
Solok,2022,7.07
Sijunjung,2022,6.69
Tanah Datar,2022,7.38
Padang Pariaman,2022,6.95
Agam,2022,9.05
Lima Puluh Kota,2022,7.24
Pasaman,2022,8.86
Solok Selatan,2022,8.04
Dharmasraya,2022,6.65
Pasaman Barat,2022,6.47
Kota Padang,2022,6.81
Kota Solok,2022,5.7
Kota Sawah Lunto,2022,9.22
Kota Padang Panjang,2022,7.13
Kota Bukittinggi,2022,8.1
Kota Payakumbuh,2022,6.7
Kota Pariaman,2022,7.55
Kuantan Singingi,2022,15.8
Indragiri Hulu,2022,15.22
Indragiri Hilir,2022,22.03
Pelalawan,2022,14.42
Siak,2022,13.07
Kampar,2022,14.69
Rokan Hulu,2022,14.58
Bengkalis,2022,15.75
Rokan Hilir,2022,15.93
Kepulauan Meranti,2022,18.81
Kota Pekanbaru,2022,11.81
Kota Dumai,2022,12.58
Kerinci,2022,11.89
Merangin,2022,13.28
Sarolangun,2022,11.15
Batang Hari,2022,13.45
Muaro Jambi,2022,10.92
Tanjung Jabung Timur,2022,11.31
Tanjung Jabung Barat,2022,13.34
Tebo,2022,13.52
Bungo,2022,10.7
Kota Jambi,2022,11.57
Kota Sungai Penuh,2022,14.21
Ogan Komering Ulu,2022,6.83
Ogan Komering Ilir,2022,6.45
Muara Enim,2022,6.84
Lahat,2022,7.72
Musi Rawas,2022,8.67
Musi Banyuasin,2022,6.21
Banyu Asin,2022,5.49
Ogan Komering Ulu Selatan,2022,11.33
Ogan Komering Ulu Timur,2022,8.6
Ogan Ilir,2022,6.95
Empat Lawang,2022,11.49
Penukal Abab Lematang Ilir,2022,9.25
Musi Rawas Utara,2022,8.12
Kota Palembang,2022,6.12
Kota Prabumulih,2022,10.54
Kota Pagar Alam,2022,11.09
Kota Lubuklinggau,2022,9.03
Bengkulu Selatan,2022,10.38
Rejang Lebong,2022,16.55
Bengkulu Utara,2022,9.91
Kaur,2022,9.54
Seluma,2022,8.63
Mukomuko,2022,5.94
Lebong,2022,12.66
Kepahiang,2022,15.4
Bengkulu Tengah,2022,9.3
Kota Bengkulu,2022,14.61
Lampung Barat,2022,12.82
Tanggamus,2022,16.81
Lampung Selatan,2022,13.06
Lampung Timur,2022,15.41
Lampung Tengah,2022,16.45
Lampung Utara,2022,16.5
Way Kanan,2022,12.65
Tulangbawang,2022,14.79
Pesawaran,2022,16.18
Pringsewu,2022,16.3
Mesuji,2022,11.88
Tulang Bawang Barat,2022,15.78
Pesisir Barat,2022,9.03
Kota Bandar Lampung,2022,12.41
Kota Metro,2022,11.51
Bangka,2022,15.78
Belitung,2022,15.21
Bangka Barat,2022,16.42
Bangka Tengah,2022,14.82
Bangka Selatan,2022,15.86
Belitung Timur,2022,14.78
Kota Pangkal Pinang,2022,12.95
Karimun,2022,15.12
Bintan,2022,13.49
Natuna,2022,15.53
Lingga,2022,17.33
Kepulauan Anambas,2022,11.18
Kota Batam,2022,9.6
Kota Tanjung Pinang,2022,14.21
Kep. Seribu,2022,3.91
Kota Jakarta Selatan,2022,2.51
Kota Jakarta Timur,2022,3.71
Kota Jakarta Pusat,2022,3.82
Kota Jakarta Barat,2022,2.8
Kota Jakarta Utara,2022,4.78
Bogor,2022,7.03
Sukabumi,2022,7.42
Cianjur,2022,9.54
Bandung,2022,8.3
Garut,2022,7.74
Tasikmalaya,2022,10.45
Ciamis,2022,6.74
Kuningan,2022,6.63
Cirebon,2022,9.04
Majalengka,2022,9.88
Sumedang,2022,7.43
Indramayu,2022,5.99
Subang,2022,7.06
Purwakarta,2022,6.72
Karawang,2022,6.73
Bekasi,2022,4.3
Bandung Barat,2022,7.81
Pangandaran,2022,5.77
Kota Bogor,2022,5.35
Kota Sukabumi,2022,8.46
Kota Bandung,2022,4.55
Kota Cirebon,2022,7.97
Kota Bekasi,2022,3.33
Kota Depok,2022,2.15
Kota Cimahi,2022,4.63
Kota Tasikmalaya,2022,7.92
Kota Banjar,2022,6.4
Cilacap,2022,16.69
Banyumas,2022,11.93
Purbalingga,2022,13.24
Banjarnegara,2022,14.37
Kebumen,2022,12.46
Purworejo,2022,16.57
Wonosobo,2022,14.92
Magelang,2022,15.84
Boyolali,2022,14.24
Klaten,2022,15.45
Sukoharjo,2022,12.74
Wonogiri,2022,12.82
Karanganyar,2022,10.68
Sragen,2022,11.8
Grobogan,2022,15.88
Blora,2022,15.49
Rembang,2022,11.22
Pati,2022,9.83
Kudus,2022,11.72
Jepara,2022,12.11
Demak,2022,9
Semarang,2022,10.61
Temanggung,2022,14.99
Kendal,2022,13.87
Batang,2022,10.23
Pekalongan,2022,7.8
Pemalang,2022,11.54
Tegal,2022,12.18
Brebes,2022,11
Kota Magelang,2022,9.48
Kota Surakarta,2022,9.52
Kota Salatiga,2022,5.97
Kota Semarang,2022,7.08
Kota Pekalongan,2022,8.41
Kota Tegal,2022,9.07
Kulon Progo,2022,19.09
Bantul,2022,11.42
Gunung Kidul,2022,22.85
Sleman,2022,8.08
Kota Yogyakarta,2022,12.06
Pacitan,2022,15.38
Ponorogo,2022,11.11
Trenggalek,2022,14.27
Tulungagung,2022,9.45
Blitar,2022,12.76
Kediri,2022,9.97
Malang,2022,13.2
Lumajang,2022,9.25
Jember,2022,14.09
Banyuwangi,2022,11.09
Bondowoso,2022,16.87
Situbondo,2022,19.65
Probolinggo,2022,13.68
Pasuruan,2022,11.57
Sidoarjo,2022,6.34
Mojokerto,2022,7.65
Jombang,2022,9.63
Nganjuk,2022,11.11
Madiun,2022,14.09
Magetan,2022,9.67
Ngawi,2022,14.87
Bojonegoro,2022,10.39
Tuban,2022,7.59
Lamongan,2022,5.91
Gresik,2022,6.6
Bangkalan,2022,14.61
Sampang,2022,13.44
Pamekasan,2022,12.63
Sumenep,2022,3.72
Kota Kediri,2022,6.41
Kota Blitar,2022,7.21
Kota Malang,2022,6.7
Kota Probolinggo,2022,6.77
Kota Pasuruan,2022,6.72
Kota Mojokerto,2022,5.79
Kota Madiun,2022,6.82
Kota Surabaya,2022,4.37
Kota Batu,2022,6.09
Pandeglang,2022,4.39
Lebak,2022,3.45
Tangerang,2022,2.28
Serang,2022,2.9
Kota Tangerang,2022,1.71
Kota Cilegon,2022,2.04
Kota Serang,2022,2.42
Kota Tangerang Selatan,2022,1.5
Jembrana,2022,11.38
Tabanan,2022,8.57
Badung,2022,4.66
Gianyar,2022,3.89
Klungkung,2022,6.83
Bangli,2022,6.68
Karangasem,2022,13.18
Buleleng,2022,11.74
Kota Denpasar,2022,6.02
Lombok Barat,2022,2.83
Lombok Tengah,2022,2.82
Lombok Timur,2022,1.32
Sumbawa,2022,2.37
Dompu,2022,2.53
Bima,2022,3.95
Sumbawa Barat,2022,0.83
Lombok Utara,2022,2.92
Kota Mataram,2022,1.29
Kota Bima,2022,1.44
Sumba Barat,2022,10.89
Sumba Timur,2022,7.71
Kupang,2022,17.66
Timor Tengah Selatan,2022,15.92
Timor Tengah Utara,2022,14.04
Belu,2022,16
Alor,2022,12.95
Lembata,2022,18.36
Flores Timur,2022,15.71
Sikka,2022,13.97
Ende,2022,10.99
Ngada,2022,11.2
Manggarai,2022,11.33
Rote Ndao,2022,24.11
Manggarai Barat,2022,10.09
Sumba Tengah,2022,9.69
Sumba Barat Daya,2022,7.73
Nagekeo,2022,12.74
Manggarai Timur,2022,13.04
Sabu Raijua,2022,10.15
Malaka,2022,16.49
Kota Kupang,2022,17.54
Sambas,2022,18.48
Bengkayang,2022,17.53
Landak,2022,18.71
Mempawah,2022,21.96
Sanggau,2022,21.72
Ketapang,2022,24.33
Sintang,2022,19.36
Kapuas Hulu,2022,22.61
Sekadau,2022,23.51
Melawi,2022,21.43
Kayong Utara,2022,16.06
Kubu Raya,2022,21.45
Kota Pontianak,2022,12.36
Kota Singkawang,2022,10.4
Kotawaringin Barat,2022,10.37
Kotawaringin Timur,2022,12.6
Kapuas,2022,20.91
Barito Selatan,2022,15.03
Barito Utara,2022,14.05
Sukamara,2022,7.73
Lamandau,2022,6.98
Seruyan,2022,10.74
Katingan,2022,9.41
Pulang Pisau,2022,12.36
Gunung Mas,2022,8.59
Barito Timur,2022,14.27
Murung Raya,2022,13.6
Kota Palangka Raya,2022,11.83
Tanah Laut,2022,3.61
Kotabaru,2022,4.35
Banjar,2022,5.22
Barito Kuala,2022,5.78
Tapin,2022,4.84
Hulu Sungai Selatan,2022,5.64
Hulu Sungai Tengah,2022,8.79
Hulu Sungai Utara,2022,5.68
Tabalong,2022,3.21
Tanah Bumbu,2022,1.93
Balangan,2022,4.65
Kota Banjarmasin,2022,4.06
Kota Banjar Baru,2022,2.72
Paser,2022,20.54
Kutai Barat,2022,16.39
Kutai Kartanegara,2022,18.52
Kutai Timur,2022,16.35
Berau,2022,14.16
Penajam Paser Utara,2022,23.09
Mahakam Ulu,2022,18.22
Kota Balikpapan,2022,13.68
Kota Samarinda,2022,14.5
Kota Bontang,2022,11.72
Malinau,2022,19.89
Bulungan,2022,22.21
Tana Tidung,2022,21.82
Nunukan,2022,27.98
Kota Tarakan,2022,20.68
Bolaang Mongondow,2022,6.82
Minahasa,2022,5.38
Kepulauan Sangihe,2022,9.29
Kepulauan Talaud,2022,6.85
Minahasa Selatan,2022,9.66
Minahasa Utara,2022,6.87
Bolaang Mongondow Utara,2022,7.35
Siau Tagulandang Biaro,2022,8.23
Minahasa Tenggara,2022,8.11
Bolaang Mongondow Selatan,2022,7.28
Bolaang Mongondow Timur,2022,6.28
Kota Manado,2022,5.01
Kota Bitung,2022,3.46
Kota Tomohon,2022,3.24
Kota Kotamobagu,2022,5.53
Banggai Kepulauan,2022,16.26
Banggai,2022,11.85
Morowali,2022,6.69
Poso,2022,8.98
Donggala,2022,14.81
Toli-Toli,2022,14.23
Buol,2022,10.03
Parigi Moutong,2022,12.36
Tojo Una-Una,2022,9.31
Sigi,2022,14.12
Banggai Laut,2022,11.26
Morowali Utara,2022,7.4
Kota Palu,2022,11.95
Kepulauan Selayar,2022,13.6
Bulukumba,2022,14.7
Bantaeng,2022,11.58
Jeneponto,2022,15.15
Takalar,2022,14.23
Gowa,2022,11.5
Sinjai,2022,11.93
Maros,2022,9.72
Pangkajene dan Kepulauan,2022,6.15
Barru,2022,11.81
Bone,2022,15.01
Soppeng,2022,15.03
Wajo,2022,12.09
Sidenreng Rappang,2022,8.71
Pinrang,2022,12.21
Enrekang,2022,11.32
Luwu,2022,11.78
Tana Toraja,2022,15.03
Luwu Utara,2022,9.05
Luwu Timur,2022,8.77
Toraja Utara,2022,11.35
Kota Makasar,2022,6.35
Kota Parepare,2022,6.71
Kota Palopo,2022,5.62
Buton,2022,20.76
Muna,2022,22.55
Konawe,2022,14.57
Kolaka,2022,13.86
Konawe Selatan,2022,17.76
Bombana,2022,16.4
Wakatobi,2022,20.75
Kolaka Utara,2022,11.6
Buton Utara,2022,16.66
Konawe Utara,2022,9.01
Kolaka Timur,2022,17.3
Konawe Kepulauan,2022,19.74
Muna Barat,2022,20
Buton Tengah,2022,15.78
Buton Selatan,2022,14.08
Kota Kendari,2022,15.51
Kota Baubau,2022,24.6
Boalemo,2022,19.09
Gorontalo,2022,19.01
Pohuwato,2022,20.02
Bone Bolango,2022,17.59
Gorontalo Utara,2022,22.84
Kota Gorontalo,2022,15.17
Majene,2022,9.25
Polewali Mandar,2022,10.4
Mamasa,2022,17.58
Mamuju,2022,9.04
Mamuju Utara / Pasangkayu,2022,5.19
Mamuju Tengah,2022,6.98
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,35.03
Maluku Tenggara,2022,28.78
Maluku Tengah,2022,36.9
Buru,2022,34.38
Kepulauan Aru,2022,33.74
Seram Bagian Barat,2022,37.77
Seram Bagian Timur,2022,30.54
Maluku Barat Daya,2022,27.22
Buru Selatan,2022,29.96
Kota Ambon,2022,24.13
Kota Tual,2022,35.29
Halmahera Barat,2022,38
Halmahera Tengah,2022,25.51
Kepulauan Sula,2022,42.37
Halmahera Selatan,2022,30.67
Halmahera Utara,2022,28.38
Halmahera Timur,2022,31.48
Pulau Morotai,2022,26.8
Pulau Taliabu,2022,38.62
Kota Ternate,2022,24.6
Kota Tidore Kepulauan,2022,30.02
Fakfak,2022,20.23
Kaimana,2022,29.24
Teluk Wondama,2022,32.26
Teluk Bintuni,2022,27.69
Manokwari,2022,28.7
Manokwari Selatan,2022,30.42
Pegunungan Arfak,2022,54.83
Raja Ampat,2022,29.02
Sorong,2022,28.93
Sorong Selatan,2022,40.87
Maybrat,2022,19.49
Tambrauw,2022,41.74
Kota Sorong,2022,28.1
Jayapura,2022,27.04
Kepulauan Yapen,2022,37.79
Biak Numfor,2022,44.3
Sarmi,2022,40.04
Keerom,2022,38.99
Waropen,2022,33.26
Supiori,2022,21.39
Mamberamo Raya,2022,51.4
Kota Jayapura,2022,24.1
Merauke,2022,24.37
Boven Digoel,2022,38.47
Mappi,2022,39.54
Asmat,2022,33.4
Mimika,2022,31.44
Dogiyai,2022,80.32
Deiyai,2022,70.33
Nabire,2022,28.68
Paniai,2022,70.28
Intan Jaya,2022,55.25
Puncak,2022,39.51
Puncak Jaya,2022,28.11
Nduga,2022,13.88
Jayawijaya,2022,30.4
Lanny Jaya,2022,22.36
Tolikara,2022,40.25
Mamberamo Tengah,2022,20.15
Yalimo,2022,26.29
Yahukimo,2022,48.9
Pegunungan Bintang,2022,17.85
